Measurement Name :,7212023P_run19,,,,,,,,Generated On :,"21/07/2023, 16:12:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
21.07.23 15:59:17,20.28,164,164,164,164,164,164,41.37,43.37,32.67,52.96,75.72,33.66,49.16,37.13,221.93,164,164,164,164,164,164,164,164,164,27,969,36.5,29.14,
21.07.23 15:59:32,20.53,166,166,166,166,166,166,33.17,35.15,52.2,37.88,77.04,44.87,34.65,28.49,238.08,166,166,166,166,166,166,166,166,166,27,969,36.5,29.11,
21.07.23 15:59:47,20.78,165,165,165,165,165,165,53.47,32.43,43.87,42.87,88.74,40.87,35.64,15.62,232.76,165,165,165,165,165,165,165,165,165,27,969,36.5,29.11,
21.07.23 16:00:02,21.03,167,167,167,167,167,167,40.62,55.51,44.12,41.87,79.42,41.62,29.47,44.87,177.14,167,167,167,167,167,167,167,167,167,27,969,36.5,29.11,
21.07.23 16:00:17,21.28,166,166,166,166,166,166,58.84,52.71,41.62,49.92,81.8,41.62,52.71,29.96,220.95,166,166,166,166,166,166,166,166,166,27,969,36.5,29.08,
21.07.23 16:00:32,21.53,168,168,168,168,168,168,43.87,56.79,39.12,48.4,84.73,45.88,48.65,8.92,216.41,168,168,168,168,168,168,168,168,168,27,969,36.5,29.08,
21.07.23 16:00:47,21.78,167,167,167,167,167,167,50.42,67.88,40.37,42.87,83.93,36.14,21.66,42.62,236.75,167,167,167,167,167,167,167,167,167,27,969,36.5,29.08,
21.07.23 16:01:02,22.03,169,169,169,169,169,169,34.9,50.42,32.67,52.45,76.51,38.37,16.83,33.66,216.41,169,169,169,169,169,169,169,169,169,27,969,36.5,29.05,
21.07.23 16:01:17,22.28,168,168,168,168,168,168,57.56,48.91,37.88,53.22,92.24,42.37,50.93,54.75,209.65,168,168,168,168,168,168,168,168,168,27,969,36.5,29.05,
21.07.23 16:01:32,22.53,170,170,170,170,170,170,51.69,58.58,40.12,56.02,77.83,45.38,49.41,42.12,208.06,170,170,170,170,170,170,170,170,170,27,969,36.5,29.04,
21.07.23 16:01:47,22.78,169,169,169,169,169,169,33.41,52.96,25.8,52.2,87.4,35.64,13.94,43.87,206.78,169,169,169,169,169,169,169,169,169,27,969,36.5,29.03,
21.07.23 16:02:02,23.03,171,171,171,171,171,171,33.17,47.9,27.76,52.45,82.87,49.92,49.67,40.37,219.33,171,171,171,171,171,171,171,171,171,27,969,36.5,29.01,
21.07.23 16:02:17,23.28,170,170,170,170,170,170,48.91,62.96,49.41,63.21,88.74,58.07,39.37,39.12,230.78,170,170,170,170,170,170,170,170,170,27,969,36.5,29.01,
21.07.23 16:02:32,23.53,172,172,172,172,172,172,45.38,71.01,28,58.33,93.59,64.76,52.2,38.37,222.25,172,172,172,172,172,172,172,172,172,27,969,36.5,29,
21.07.23 16:02:47,23.78,171,171,171,171,171,171,38.37,56.79,30.95,57.04,77.83,48.15,32.43,43.62,211.26,171,171,171,171,171,171,171,171,171,27,969,36.5,28.99,
21.07.23 16:03:02,24.03,173,173,173,173,173,173,52.71,69.18,47.14,49.92,78.62,37.38,49.67,29.47,203.6,173,173,173,173,173,173,173,173,173,27,969,36.5,28.97,
21.07.23 16:03:17,24.28,172,172,172,172,172,172,61.15,69.96,47.14,41.87,85,32.92,39.12,47.14,234.42,172,172,172,172,172,172,172,172,172,27,969,36.5,28.97,
21.07.23 16:03:32,24.53,174,174,174,174,174,174,46.38,68.92,37.13,48.65,81.01,32.43,46.64,42.37,209.65,174,174,174,174,174,174,174,174,174,27,969,36.5,28.94,
21.07.23 16:03:47,24.78,173,173,173,173,173,173,46.64,56.53,43.87,42.12,78.62,50.42,19.72,39.12,227.82,173,173,173,173,173,173,173,173,173,27,969,36.5,28.94,
21.07.23 16:04:02,25.03,175,175,175,175,175,175,44.37,75.2,38.37,49.41,73.1,45.38,49.16,41.62,195.71,175,175,175,175,175,175,175,175,175,27,969,36.5,28.93,
21.07.23 16:04:17,25.28,174,174,174,174,174,174,52.2,76.51,34.4,36.63,70.48,37.88,42.62,34.4,201.38,174,174,174,174,174,174,174,174,174,27,969,36.5,28.91,
21.07.23 16:04:32,25.53,176,176,176,176,176,176,58.33,51.19,36.14,46.38,73.89,43.12,35.64,39.87,221.28,176,176,176,176,176,176,176,176,176,27,969,36.5,28.9,
21.07.23 16:04:47,25.78,175,175,175,175,175,175,48.4,68.4,33.66,56.28,81.01,56.53,35.15,34.16,218.03,175,175,175,175,175,175,175,175,175,27,969,36.5,28.9,
21.07.23 16:05:02,26.03,177,177,177,177,177,177,39.87,62.44,34.9,50.42,77.57,56.02,21.18,9.4,218.35,177,177,177,177,177,177,177,177,177,27,969,36.5,28.9,
21.07.23 16:05:17,26.28,176,176,176,176,176,176,47.9,51.19,42.12,46.64,71.01,56.53,42.62,17.31,198.85,176,176,176,176,176,176,176,176,176,27,969,36.5,28.9,
21.07.23 16:05:32,26.53,178,178,178,178,178,178,57.81,61.41,26.04,43.12,78.62,41.12,36.88,26.78,218.68,178,178,178,178,178,178,178,178,178,27,969,36.5,28.9,
21.07.23 16:05:47,26.78,177,177,177,177,177,177,38.12,56.02,35.15,46.38,73.36,43.62,32.67,47.9,212.54,177,177,177,177,177,177,177,177,177,27,969,36.5,28.91,
21.07.23 16:06:02,27.03,179,179,179,179,179,179,42.37,66.32,38.37,40.12,79.42,39.87,21.66,48.65,233.43,179,179,179,179,179,179,179,179,179,27,969,36.5,28.93,
21.07.23 16:06:17,27.28,178,178,178,178,178,178,42.12,55.26,35.39,53.47,74.41,47.9,37.13,36.38,203.92,178,178,178,178,178,178,178,178,178,27,969,36.5,28.93,
21.07.23 16:06:32,27.53,180,180,180,180,180,180,45.38,56.53,25.31,51.44,79.42,42.37,45.63,31.93,202.33,180,180,180,180,180,180,180,180,180,27,969,36.5,28.94,
21.07.23 16:06:47,27.78,179,179,179,179,179,179,36.88,61.41,41.87,48.91,81.54,31.93,28.49,40.87,208.38,179,179,179,179,179,179,179,179,179,27,969,36.5,28.97,
21.07.23 16:07:02,28.03,181,181,181,181,181,181,28.25,43.37,19,43.12,66.06,36.88,31.69,33.91,202.65,181,181,181,181,181,181,181,181,181,27,969,36.5,28.97,
21.07.23 16:07:17,28.28,180,180,180,180,180,180,63.73,59.09,48.15,52.2,70.74,50.17,59.86,31.93,268.05,180,180,180,180,180,180,180,180,180,27,969,36.5,29,
21.07.23 16:07:32,28.53,182,182,182,182,182,182,57.04,57.3,46.13,51.44,90.35,60.89,56.79,31.93,202.65,182,182,182,182,182,182,182,182,182,27,969,36.5,29.01,
21.07.23 16:07:47,28.78,181,181,181,181,181,181,48.15,71.01,38.12,42.87,72.31,51.95,38.37,12.5,214.15,181,181,181,181,181,181,181,181,181,27,969,36.5,29.03,
21.07.23 16:08:02,29.03,183,183,183,183,183,183,52.2,53.47,42.37,45.38,77.83,61.15,32.18,36.14,209.33,183,183,183,183,183,183,183,183,183,27,969,36.5,29.04,
21.07.23 16:08:17,29.28,182,182,182,182,182,182,57.3,71.01,46.38,62.96,82.07,54.24,46.89,49.41,239.08,182,182,182,182,182,182,182,182,182,27,969,36.5,29.05,
21.07.23 16:08:32,29.53,184,184,184,184,184,184,39.12,61.15,39.62,47.9,77.83,50.17,37.88,18.27,225.85,184,184,184,184,184,184,184,184,184,27,969,36.5,29.05,
21.07.23 16:08:47,29.78,183,183,183,183,183,183,39.62,34.9,42.37,52.96,71.79,52.2,43.62,34.65,224.21,183,183,183,183,183,183,183,183,183,27,969,36.5,29.05,
21.07.23 16:09:02,30.03,185,185,185,185,185,185,50.68,63.47,41.87,48.91,81.27,56.28,46.13,52.45,206.46,185,185,185,185,185,185,185,185,185,27,969,36.5,29.08,
21.07.23 16:09:17,30.28,184,184,184,184,184,184,35.89,55.26,28.25,51.69,77.57,56.02,46.89,50.17,218.03,184,184,184,184,184,184,184,184,184,27,969,36.5,29.1,
21.07.23 16:09:32,30.53,186,186,186,186,186,186,40.37,74.41,39.12,55.77,68.4,45.13,44.37,39.37,219.65,186,186,186,186,186,186,186,186,186,27,969,36.5,29.11,
21.07.23 16:09:47,30.78,185,185,185,185,185,185,47.9,68.92,25.56,46.89,75.2,53.47,50.17,33.17,220.63,185,185,185,185,185,185,185,185,185,27,969,36.5,29.13,
21.07.23 16:10:02,31.03,187,187,187,187,187,187,50.93,88.74,39.62,43.37,69.7,57.56,46.38,26.29,248.15,187,187,187,187,187,187,187,187,187,27,969,36.5,29.15,
21.07.23 16:10:17,31.28,186,186,186,186,186,186,70.74,64.25,36.38,48.65,83.66,53.47,49.67,28,174.7,186,186,186,186,186,186,186,186,186,27,969,36.5,29.16,
21.07.23 16:10:32,31.53,188,188,188,188,188,188,64.25,61.92,49.16,47.9,75.99,48.15,45.63,42.62,218.03,188,188,188,188,188,188,188,188,188,27,969,36.5,29.16,
21.07.23 16:10:48,31.8,187,187,187,187,187,187,43.62,74.15,52.45,52.96,75.99,45.13,33.17,29.96,215.12,187,187,187,187,187,187,187,187,187,27,969,36.5,29.18,
21.07.23 16:11:03,32.05,189,189,189,189,189,189,51.95,78.62,23.85,42.87,71.01,54.24,46.89,39.37,213.51,189,189,189,189,189,189,189,189,189,27,969,36.5,29.21,
21.07.23 16:11:18,32.3,188,188,188,188,188,188,44.12,86.06,34.65,45.63,78.1,53.73,43.87,44.87,209.97,188,188,188,188,188,188,188,188,188,27,969,36.5,29.22,
21.07.23 16:11:33,32.55,190,190,190,190,190,190,55.77,48.4,33.66,40.37,85,42.62,35.39,32.92,224.87,190,190,190,190,190,190,190,190,190,27,969,36.5,29.22,
