Measurement Name :,7202023P_run16,,,,,,,,,Generated On :,"20/07/2023, 14:45:47",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,,,,,,,,,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",
20.07.23 14:16:51,2.28,128,128,128,128,128,128,128,118.35,158.75,143.47,166.23,180.5,291.75,227.16,229.79,128,128,128,128,128,128,128,128,128,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:06,2.53,130,130,130,130,130,130,130,106.4,153.13,123.41,142.88,168.04,284.6,217.7,241.09,130,130,130,130,130,130,130,130,130,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:21,2.78,129,129,129,129,129,129,129,120.31,139.41,144.34,146.38,180.2,235.75,194.14,217.38,129,129,129,129,129,129,129,129,129,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:36,3.03,131,131,131,131,131,131,131,123.13,155.2,125.67,115.27,104.2,204.23,240.08,225.19,131,131,131,131,131,131,131,131,131,27,969,36.5,28.74,969D6-(E1);
20.07.23 14:17:51,3.28,130,130,130,130,130,130,130,105.58,166.53,132.22,159.35,203.28,284.6,216.09,231.11,130,130,130,130,130,130,130,130,130,27,969,36.5,28.75,969D6-(E1);
20.07.23 14:18:06,3.53,132,132,132,132,132,132,132,108.89,164.43,128.51,172.87,201.7,256.32,232.1,253.59,132,132,132,132,132,132,132,132,132,27,969,36.5,28.76,969D6-(E1);
20.07.23 14:18:21,3.78,131,131,131,131,131,131,131,112.49,187.6,112.77,135.95,117.51,264.93,226.5,202.33,131,131,131,131,131,131,131,131,131,27,969,36.5,28.76,969C3-(E1);
20.07.23 14:18:36,4.03,133,133,133,133,133,133,133,111.93,160.84,123.69,156.08,137.67,234.75,230.78,235.08,133,133,133,133,133,133,133,133,133,27,969,36.5,28.78,969D6-(E1);
20.07.23 14:18:51,4.28,132,132,132,132,132,132,132,114.71,159.05,121.72,173.48,130.5,282.46,211.58,203.6,132,132,132,132,132,132,132,132,132,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:19:06,4.53,134,134,134,134,134,134,134,120.59,168.64,106.13,139.41,158.75,230.12,239.08,234.75,134,134,134,134,134,134,134,134,134,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:19:21,4.78,133,133,133,133,133,133,133,114.71,169.54,114.16,112.77,220.95,254.27,235.08,203.92,133,133,133,133,133,133,133,133,133,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:19:36,5.03,135,135,135,135,135,135,135,129.36,146.96,114.99,142.59,142.3,250.19,262.85,220.3,135,135,135,135,135,135,135,135,135,27,969,36.5,28.8,969D6-(E1);
20.07.23 14:19:51,5.28,134,134,134,134,134,134,134,111.65,146.38,116.11,160.84,267.7,229.13,241.42,221.28,134,134,134,134,134,134,134,134,134,27,969,36.5,28.8,969D6-(E1);
20.07.23 14:20:06,5.53,136,136,136,136,136,136,136,112.49,145.21,101.19,169.54,169.54,209.01,197.91,236.08,136,136,136,136,136,136,136,136,136,27,969,36.5,28.8,969D6-(E1);
20.07.23 14:20:21,5.78,135,135,135,135,135,135,135,107.23,177.44,122.28,149.01,96.84,229.46,215.44,186.98,135,135,135,135,135,135,135,135,135,27,969,36.5,28.82,969D6-(E1);
20.07.23 14:20:36,6.03,137,137,137,137,137,137,137,124.26,139.12,108.06,114.99,189.77,248.49,200.43,235.75,137,137,137,137,137,137,137,137,137,27,969,36.5,28.82,969D6-(E1);
20.07.23 14:20:51,6.28,136,136,136,136,136,136,136,99.28,172.27,109.44,141.72,172.57,213.51,191.64,223.89,136,136,136,136,136,136,136,136,136,27,969,36.5,28.8,969D6-(E1);
20.07.23 14:21:06,6.53,138,138,138,138,138,138,138,108.06,156.68,105.03,151.95,124.54,203.28,237.41,203.6,138,138,138,138,138,138,138,138,138,27,969,36.5,28.82,969D4-(E1);
20.07.23 14:21:21,6.78,137,137,137,137,137,137,137,96.56,161.44,97.11,148.72,196.97,243.43,226.18,193.52,137,137,137,137,137,137,137,137,137,27,969,36.5,28.82,969D6-(E1);
20.07.23 14:21:36,7.03,139,139,139,139,139,139,139,103.66,142.01,121.15,161.14,191.02,259.06,238.08,222.91,139,139,139,139,139,139,139,139,139,27,969,36.5,28.82,969D6-(E1);
20.07.23 14:21:51,7.28,138,138,138,138,138,138,138,97.92,148.72,124.26,162.93,214.47,242.09,200.75,231.77,138,138,138,138,138,138,138,138,138,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:22:06,7.53,140,140,140,140,140,140,140,105.3,172.27,120.31,162.93,175.61,241.76,186.05,240.08,140,140,140,140,140,140,140,140,140,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:22:21,7.78,139,139,139,139,139,139,139,91.7,155.49,93.59,160.24,130.79,215.76,239.75,228.8,139,139,139,139,139,139,139,139,139,27,969,36.5,28.8,969D6-(E1);
20.07.23 14:22:36,8.03,141,141,141,141,141,141,141,103.11,148.72,105.85,165.93,164.73,241.09,254.95,193.83,141,141,141,141,141,141,141,141,141,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:22:51,8.28,140,140,140,140,140,140,140,95.48,139.7,103.38,156.68,146.09,217.06,235.08,202.65,140,140,140,140,140,140,140,140,140,27,969,36.5,28.82,969D6-(E1);
20.07.23 14:23:06,8.53,142,142,142,142,142,142,142,99.56,163.83,106.13,135.37,169.54,244.78,230.45,224.87,142,142,142,142,142,142,142,142,142,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:23:21,8.78,141,141,141,141,141,141,141,91.16,184.82,97.11,154.31,175.61,253.93,227.49,220.63,141,141,141,141,141,141,141,141,141,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:23:36,9.03,143,143,143,143,143,143,143,114.16,168.94,127.94,176.22,186.98,258.03,200.12,231.44,143,143,143,143,143,143,143,143,143,27,969,36.5,28.79,969C4-(E1);
20.07.23 14:23:51,9.28,142,142,142,142,142,142,142,92.24,162.33,94.13,162.63,135.37,253.93,209.97,219,142,142,142,142,142,142,142,142,142,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:24:06,9.53,144,144,144,144,144,144,144,100.92,178.97,106.4,140.27,332.08,277.86,262.16,239.08,144,144,144,144,144,144,144,144,144,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:24:21,9.78,143,143,143,143,143,143,143,101.47,165.63,94.13,162.03,113.6,302.26,227.82,232.76,143,143,143,143,143,143,143,143,143,27,969,36.5,28.78,969D6-(E1);
20.07.23 14:24:36,10.03,145,145,145,145,145,145,145,88.47,165.03,82.07,145.5,161.73,234.75,251.88,218.68,145,145,145,145,145,145,145,145,145,27,969,36.5,28.78,
20.07.23 14:24:51,10.28,144,144,144,144,144,144,144,98.47,161.14,71.27,145.8,161.14,217.06,274.69,242.43,144,144,144,144,144,144,144,144,144,27,969,36.5,28.78,
20.07.23 14:25:06,10.53,146,146,146,146,146,146,146,77.04,152.83,85.8,128.23,170.15,231.11,212.22,219,146,146,146,146,146,146,146,146,146,27,969,36.5,28.76,
20.07.23 14:25:21,10.78,145,145,145,145,145,145,145,90.62,164.73,78.89,155.2,160.24,233.76,235.08,208.06,145,145,145,145,145,145,145,145,145,27,969,36.5,28.76,
20.07.23 14:25:36,11.03,147,147,147,147,147,147,147,100.92,167.13,81.01,142.88,149.6,235.08,215.12,213.83,147,147,147,147,147,147,147,147,147,27,969,36.5,28.76,969D6-(E1);
20.07.23 14:25:51,11.28,146,146,146,146,146,146,146,86.33,154.6,85,144.05,169.85,230.12,212.86,217.7,146,146,146,146,146,146,146,146,146,27,969,36.5,28.75,
20.07.23 14:26:06,11.53,148,148,148,148,148,148,148,89.01,164.13,86.06,146.09,159.95,226.83,212.22,205.82,148,148,148,148,148,148,148,148,148,27,969,36.5,28.75,969D6-(E1);
20.07.23 14:26:21,11.78,147,147,147,147,147,147,147,95.75,172.27,88.74,159.35,167.43,251.54,240.42,217.7,147,147,147,147,147,147,147,147,147,27,969,36.5,28.75,969D6-(E1);
20.07.23 14:26:36,12.03,149,149,149,149,149,149,149,90.08,178.67,94.13,166.53,182.66,252.22,218.35,222.58,149,149,149,149,149,149,149,149,149,27,969,36.5,28.74,
20.07.23 14:26:51,12.28,148,148,148,148,148,148,148,93.59,166.23,89.01,165.33,180.5,263.54,238.75,222.25,148,148,148,148,148,148,148,148,148,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:27:06,12.53,150,150,150,150,150,150,150,102.29,176.83,84.73,168.04,178.36,215.12,242.43,239.41,150,150,150,150,150,150,150,150,150,27,969,36.5,28.72,
20.07.23 14:27:21,12.78,149,149,149,149,149,149,149,86.33,149.01,79.42,153.72,160.84,228.47,240.08,203.6,149,149,149,149,149,149,149,149,149,27,969,36.5,28.72,
20.07.23 14:27:36,13.03,151,151,151,151,151,151,151,65.02,157.86,62.96,146.96,149.31,220.63,205.82,220.63,151,151,151,151,151,151,151,151,151,27,969,36.5,28.72,
20.07.23 14:27:51,13.28,150,150,150,150,150,150,150,80.48,161.44,60.89,148.72,154.6,217.38,215.12,207.42,150,150,150,150,150,150,150,150,150,27,969,36.5,28.72,
20.07.23 14:28:06,13.53,152,152,152,152,152,152,152,85.8,164.43,81.01,158.46,166.53,228.8,239.75,215.12,152,152,152,152,152,152,152,152,152,27,969,36.5,28.72,
20.07.23 14:28:21,13.78,151,151,151,151,151,151,151,91.97,168.04,81.01,178.36,170.75,265.97,249.51,228.15,151,151,151,151,151,151,151,151,151,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:28:36,14.03,153,153,153,153,153,153,153,86.06,171.36,85.26,165.33,176.83,240.75,231.44,200.12,153,153,153,153,153,153,153,153,153,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:28:51,14.28,152,152,152,152,152,152,152,81.54,165.03,80.74,157.27,161.14,218.03,218.68,198.22,152,152,152,152,152,152,152,152,152,27,969,36.5,28.72,
20.07.23 14:29:06,14.53,154,154,154,154,154,154,154,75.99,180.2,78.1,154.01,175.61,221.6,231.44,210.94,154,154,154,154,154,154,154,154,154,27,969,36.5,28.71,969D6-(E1);
20.07.23 14:29:21,14.78,153,153,153,153,153,153,153,93.86,185.43,83.66,161.73,178.67,228.47,208.7,220.63,153,153,153,153,153,153,153,153,153,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:29:36,15.03,155,155,155,155,155,155,155,93.59,182.04,96.29,142.3,184.2,242.76,247.82,212.86,155,155,155,155,155,155,155,155,155,27,969,36.5,28.71,
20.07.23 14:29:51,15.28,154,154,154,154,154,154,154,90.35,158.46,79.95,149.01,172.27,222.91,233.76,214.47,154,154,154,154,154,154,154,154,154,27,969,36.5,28.69,
20.07.23 14:30:06,15.53,156,156,156,156,156,156,156,79.42,177.75,87.4,156.38,180.81,223.56,239.41,209.33,156,156,156,156,156,156,156,156,156,27,969,36.5,28.68,
20.07.23 14:30:21,15.78,155,155,155,155,155,155,155,89.01,178.05,83.4,163.23,178.36,231.77,242.09,224.21,155,155,155,155,155,155,155,155,155,27,969,36.5,28.68,
20.07.23 14:30:36,16.03,157,157,157,157,157,157,157,93.05,188.84,71.53,177.14,187.29,223.23,233.76,206.78,157,157,157,157,157,157,157,157,157,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:30:51,16.28,156,156,156,156,156,156,156,98.19,193.83,97.65,178.05,191.02,231.11,240.08,213.83,156,156,156,156,156,156,156,156,156,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:31:06,16.53,158,158,158,158,158,158,158,61.67,163.53,76.51,158.75,162.03,216.41,234.75,218.35,158,158,158,158,158,158,158,158,158,27,969,36.5,28.68,
20.07.23 14:31:21,16.78,157,157,157,157,157,157,157,82.87,184.82,82.6,158.46,186.36,223.89,230.12,219.65,157,157,157,157,157,157,157,157,157,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:31:36,17.03,159,159,159,159,159,159,159,68.66,166.53,71.27,156.97,181.73,224.87,224.21,198.85,159,159,159,159,159,159,159,159,159,27,969,36.5,28.69,
20.07.23 14:31:51,17.28,158,158,158,158,158,158,158,72.31,185.43,74.15,156.08,182.96,231.11,253.93,214.8,158,158,158,158,158,158,158,158,158,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:32:06,17.53,160,160,160,160,160,160,160,90.08,178.97,78.62,181.12,213.51,255.29,236.08,231.44,160,160,160,160,160,160,160,160,160,27,969,36.5,28.68,
20.07.23 14:32:21,17.78,159,159,159,159,159,159,159,90.89,192.89,74.67,175.92,201.38,247.82,236.08,240.42,159,159,159,159,159,159,159,159,159,27,969,36.5,28.68,
20.07.23 14:32:36,18.03,161,161,161,161,161,161,161,92.51,190.4,60.12,156.68,189.46,236.08,226.18,196.65,161,161,161,161,161,161,161,161,161,27,969,36.5,28.68,
20.07.23 14:32:51,18.28,160,160,160,160,160,160,160,86.33,175.92,72.57,164.13,200.43,227.82,215.44,216.73,160,160,160,160,160,160,160,160,160,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:33:06,18.53,162,162,162,162,162,162,162,65.8,194.46,69.96,182.66,185.43,228.47,226.18,216.73,162,162,162,162,162,162,162,162,162,27,969,36.5,28.66,
20.07.23 14:33:21,18.78,161,161,161,161,161,161,161,100.37,188.53,90.89,186.36,209.97,265.62,213.19,214.8,161,161,161,161,161,161,161,161,161,27,969,36.5,28.66,
20.07.23 14:33:36,19.03,163,163,163,163,163,163,163,100.92,186.67,69.18,187.91,184.82,235.42,233.43,200.75,163,163,163,163,163,163,163,163,163,27,969,36.5,28.65,969D6-(E1);
20.07.23 14:33:51,19.28,162,162,162,162,162,162,162,81.8,208.06,83.66,181.12,204.23,226.83,236.08,227.49,162,162,162,162,162,162,162,162,162,27,969,36.5,28.66,
20.07.23 14:34:06,19.53,164,164,164,164,164,164,164,81.01,206.14,72.31,182.96,203.28,252.56,230.45,229.13,164,164,164,164,164,164,164,164,164,27,969,36.5,28.65,
20.07.23 14:34:21,19.78,163,163,163,163,163,163,163,68.92,178.67,63.21,167.13,191.33,232.1,220.3,225.52,163,163,163,163,163,163,163,163,163,27,969,36.5,28.66,
20.07.23 14:34:36,20.03,165,165,165,165,165,165,165,84.73,191.64,78.1,180.81,203.28,248.15,237.74,218.68,165,165,165,165,165,165,165,165,165,27,969,36.5,28.66,969C5-(E1);
20.07.23 14:34:51,20.28,164,164,164,164,164,164,164,82.6,211.26,65.02,180.2,191.64,249.85,221.28,230.12,164,164,164,164,164,164,164,164,164,27,969,36.5,28.68,
20.07.23 14:35:06,20.53,166,166,166,166,166,166,166,60.89,196.34,67.62,176.53,189.15,247.14,248.15,222.91,166,166,166,166,166,166,166,166,166,27,969,36.5,28.65,
20.07.23 14:35:21,20.78,165,165,165,165,165,165,165,72.84,188.84,66.32,180.81,192.89,230.78,219.33,203.6,165,165,165,165,165,165,165,165,165,27,969,36.5,28.66,
20.07.23 14:35:36,21.03,167,167,167,167,167,167,167,88.2,194.77,70.48,180.81,203.6,221.93,219.33,219.33,167,167,167,167,167,167,167,167,167,27,969,36.5,28.66,
20.07.23 14:35:51,21.28,166,166,166,166,166,166,166,79.68,200.12,62.18,191.96,191.64,227.49,200.43,220.63,166,166,166,166,166,166,166,166,166,27,969,36.5,28.66,969D6-(E1);
20.07.23 14:36:06,21.53,168,168,168,168,168,168,168,64.76,182.66,58.58,165.03,190.4,206.14,224.21,212.86,168,168,168,168,168,168,168,168,168,27,969,36.5,28.65,
20.07.23 14:36:21,21.78,167,167,167,167,167,167,167,64.51,190.09,62.96,175,204.55,266.31,215.76,224.54,167,167,167,167,167,167,167,167,167,27,969,36.5,28.65,
20.07.23 14:36:36,22.03,169,169,169,169,169,169,169,87.94,201.7,78.62,182.35,207.42,253.93,235.08,226.83,169,169,169,169,169,169,169,169,169,27,969,36.5,28.65,
20.07.23 14:36:51,22.28,168,168,168,168,168,168,168,80.74,204.55,64.76,179.89,183.58,206.78,195.71,204.55,168,168,168,168,168,168,168,168,168,27,969,36.5,28.65,
20.07.23 14:37:06,22.53,170,170,170,170,170,170,170,71.27,196.97,59.86,168.64,202.01,218.68,230.12,199.17,170,170,170,170,170,170,170,170,170,27,969,36.5,28.64,
20.07.23 14:37:21,22.78,169,169,169,169,169,169,169,65.02,203.6,60.89,200.12,210.94,243.77,240.75,227.82,169,169,169,169,169,169,169,169,169,27,969,36.5,28.64,
20.07.23 14:37:36,23.03,171,171,171,171,171,171,171,83.66,206.14,67.88,195.71,196.65,225.52,240.08,224.21,171,171,171,171,171,171,171,171,171,27,969,36.5,28.63,969B6-(E1);
20.07.23 14:37:51,23.28,170,170,170,170,170,170,170,80.74,201.7,73.62,191.02,211.9,245.12,239.08,232.43,170,170,170,170,170,170,170,170,170,27,969,36.5,28.65,969D6-(E1);
20.07.23 14:38:06,23.53,172,172,172,172,172,172,172,71.01,208.38,57.3,178.36,191.33,230.78,198.54,192.27,172,172,172,172,172,172,172,172,172,27,969,36.5,28.65,
20.07.23 14:38:21,23.78,171,171,171,171,171,171,171,57.3,203.92,54.49,191.02,210.62,222.91,225.19,226.18,171,171,171,171,171,171,171,171,171,27,969,36.5,28.65,
20.07.23 14:38:36,24.03,173,173,173,173,173,173,173,59.09,203.6,43.87,179.58,207.1,223.89,217.7,193.52,173,173,173,173,173,173,173,173,173,27,969,36.5,28.66,969D6-(E1);
20.07.23 14:38:51,24.28,172,172,172,172,172,172,172,77.04,212.54,64.51,200.43,219.98,220.3,233.43,205.19,172,172,172,172,172,172,172,172,172,27,969,36.5,28.69,969D6-(E1);
20.07.23 14:39:06,24.53,174,174,174,174,174,174,174,82.87,210.94,67.62,216.09,227.16,251.54,232.43,224.21,174,174,174,174,174,174,174,174,174,27,969,36.5,28.69,969D6-(E1);
20.07.23 14:39:21,24.78,173,173,173,173,173,173,173,55.26,206.78,68.14,193.52,208.06,249.85,224.54,220.95,173,173,173,173,173,173,173,173,173,27,969,36.5,28.71,
20.07.23 14:39:36,25.03,175,175,175,175,175,175,175,66.06,217.38,81.01,207.42,235.75,237.08,219,224.21,175,175,175,175,175,175,175,175,175,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:39:51,25.28,174,174,174,174,174,174,174,70.48,212.22,62.7,189.15,209.65,208.7,247.82,210.62,174,174,174,174,174,174,174,174,174,27,969,36.5,28.75,
20.07.23 14:40:06,25.53,176,176,176,176,176,176,176,83.93,219.98,71.01,214.47,245.12,248.49,245.12,205.19,176,176,176,176,176,176,176,176,176,27,969,36.5,28.76,
20.07.23 14:40:21,25.78,175,175,175,175,175,175,175,88.74,216.73,66.06,207.42,241.42,225.52,210.62,208.38,175,175,175,175,175,175,175,175,175,27,969,36.5,28.76,969D6-(E1);
20.07.23 14:40:36,26.03,177,177,177,177,177,177,177,82.33,225.52,62.96,203.92,234.09,226.18,233.09,203.92,177,177,177,177,177,177,177,177,177,27,969,36.5,28.79,
20.07.23 14:40:51,26.28,176,176,176,176,176,176,176,70.22,232.43,63.99,218.03,233.43,218.68,218.35,226.83,176,176,176,176,176,176,176,176,176,27,969,36.5,28.8,
20.07.23 14:41:06,26.53,178,178,178,178,178,178,178,79.42,208.38,65.54,211.26,233.09,223.23,261.82,230.12,178,178,178,178,178,178,178,178,178,27,969,36.5,28.82,
20.07.23 14:41:21,26.78,177,177,177,177,177,177,177,70.22,216.73,60.89,204.55,209.65,217.7,224.87,216.73,177,177,177,177,177,177,177,177,177,27,969,36.5,28.85,969D6-(E1);
20.07.23 14:41:36,27.03,179,179,179,179,179,179,179,84.46,235.75,76.51,218.35,257,230.78,245.45,231.11,179,179,179,179,179,179,179,179,179,27,969,36.5,28.86,
20.07.23 14:41:51,27.28,178,178,178,178,178,178,178,88.74,236.41,67.36,203.28,239.75,249.85,233.43,224.21,178,178,178,178,178,178,178,178,178,27,969,36.5,28.88,969D6-(E1);
20.07.23 14:42:06,27.53,180,180,180,180,180,180,180,49.67,221.93,51.95,207.42,235.08,236.08,227.16,220.95,180,180,180,180,180,180,180,180,180,27,969,36.5,28.9,
20.07.23 14:42:21,27.78,179,179,179,179,179,179,179,66.32,226.18,56.02,199.8,232.43,235.42,236.75,213.83,179,179,179,179,179,179,179,179,179,27,969,36.5,28.91,969D6-(E1);
20.07.23 14:42:36,28.03,181,181,181,181,181,181,181,73.1,218.35,67.88,203.92,229.13,222.58,237.41,209.01,181,181,181,181,181,181,181,181,181,27,969,36.5,28.93,969D6-(E1);
20.07.23 14:42:51,28.28,180,180,180,180,180,180,180,70.74,242.76,56.53,200.43,238.41,217.7,218.35,228.15,180,180,180,180,180,180,180,180,180,27,969,36.5,28.96,
20.07.23 14:43:06,28.53,182,182,182,182,182,182,182,77.04,224.87,56.79,209.65,236.41,227.16,227.82,231.77,182,182,182,182,182,182,182,182,182,27,969,36.5,28.97,969D6-(E1);
20.07.23 14:43:21,28.78,181,181,181,181,181,181,181,69.18,239.08,65.8,230.45,259.41,231.11,211.58,218.35,181,181,181,181,181,181,181,181,181,27,969,36.5,29.01,
20.07.23 14:43:36,29.03,183,183,183,183,183,183,183,79.95,225.52,73.89,230.45,247.82,238.41,219.33,224.87,183,183,183,183,183,183,183,183,183,27,969,36.5,29.01,
20.07.23 14:43:51,29.28,182,182,182,182,182,182,182,72.31,234.42,57.56,209.65,225.85,229.13,251.54,201.06,182,182,182,182,182,182,182,182,182,27,969,36.5,29.04,969D6-(E1);
20.07.23 14:44:06,29.53,184,184,184,184,184,184,184,69.96,223.56,65.54,223.56,240.08,252.22,224.54,234.75,184,184,184,184,184,184,184,184,184,27,969,36.5,29.08,969D6-(E1);
20.07.23 14:44:21,29.78,183,183,183,183,183,183,183,70.74,239.41,54.75,218.68,239.41,257.69,253.93,215.44,183,183,183,183,183,183,183,183,183,27,969,36.5,29.08,969D6-(E1);
20.07.23 14:44:36,30.03,185,185,185,185,185,185,185,58.84,219,50.17,207.1,232.43,212.54,229.46,220.95,185,185,185,185,185,185,185,185,185,27,969,36.5,29.11,
20.07.23 14:44:51,30.28,184,184,184,184,184,184,184,54.24,244.44,66.84,207.74,243.1,227.82,240.08,224.21,184,184,184,184,184,184,184,184,184,27,969,36.5,29.14,
20.07.23 14:45:06,30.53,186,186,186,186,186,186,186,58.84,227.16,56.02,221.93,235.42,241.76,217.38,225.19,186,186,186,186,186,186,186,186,186,27,969,36.5,29.15,
