Measurement Name :,7192023R_run14,,Generated On :,"19/07/2023, 18:17:44",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
"
19.07.23 17:59:18,19.8,157.86,175.92,197.91,,27,969,36.5,28.54,969D6-(E1);,,,,
19.07.23 17:59:33,20.05,134.51,180.2,176.53,,27,969,36.5,28.54,,,,,
19.07.23 17:59:48,20.3,151.36,149.6,205.19,,27,969,36.5,28.54,,,,,
19.07.23 18:00:03,20.55,169.54,168.34,245.79,,27,969,36.5,28.53,,,,,
19.07.23 18:00:18,20.8,147.84,148.72,268.75,,27,969,36.5,28.53,,,,,
19.07.23 18:00:33,21.05,144.92,159.65,248.15,,27,969,36.5,28.51,,,,,
19.07.23 18:00:48,21.3,148.72,171.96,305.19,,27,969,36.5,28.51,,,,,
19.07.23 18:01:03,21.55,161.44,174.39,202.65,,27,969,36.5,28.5,,,,,
19.07.23 18:01:18,21.8,134.51,152.83,249.51,,27,969,36.5,28.5,,,,,
19.07.23 18:01:33,22.05,165.93,149.31,233.43,,27,969,36.5,28.5,,,,,
19.07.23 18:01:48,22.3,179.58,191.64,250.86,,27,969,36.5,28.5,,,,,
19.07.23 18:02:03,22.55,178.05,190.4,299.71,,27,969,36.5,28.47,,,,,
19.07.23 18:02:18,22.8,178.97,165.03,289.6,,27,969,36.5,28.47,,,,,
19.07.23 18:02:33,23.05,142.59,190.71,225.19,,27,969,36.5,28.47,,,,,
19.07.23 18:02:48,23.3,149.01,155.2,183.58,,27,969,36.5,28.46,,,,,
19.07.23 18:03:03,23.55,144.63,130.22,212.86,,27,969,36.5,28.44,,,,,
19.07.23 18:03:18,23.8,151.66,152.54,179.89,,27,969,36.5,28.44,,,,,
19.07.23 18:03:33,24.05,173.18,194.46,266.31,,27,969,36.5,28.46,,,,,
19.07.23 18:03:48,24.3,154.6,190.09,250.53,,27,969,36.5,28.46,,,,,
19.07.23 18:04:03,24.55,192.89,172.57,219.33,,27,969,36.5,28.46,,,,,
19.07.23 18:04:18,24.8,173.48,171.96,288.88,,27,969,36.5,28.46,,,,,
19.07.23 18:04:33,25.05,168.34,173.18,230.45,,27,969,36.5,28.44,,,,,
19.07.23 18:04:48,25.3,163.83,149.6,172.57,,27,969,36.5,28.43,,,,,
19.07.23 18:05:03,25.55,149.6,153.42,244.78,,27,969,36.5,28.44,969D6-(E1);,,,,
19.07.23 18:05:18,25.8,171.66,154.01,320,,27,969,36.5,28.43,,,,,
19.07.23 18:05:33,26.05,178.97,201.06,287.09,,27,969,36.5,28.43,,,,,
19.07.23 18:05:48,26.3,182.35,186.36,290.32,,27,969,36.5,28.43,,,,,
19.07.23 18:06:03,26.55,156.68,171.06,166.23,,27,969,36.5,28.41,,,,,
19.07.23 18:06:18,26.8,155.49,174.39,185.12,,27,969,36.5,28.41,,,,,
19.07.23 18:06:33,27.05,176.22,151.07,237.41,,27,969,36.5,28.4,,,,,
19.07.23 18:06:48,27.3,190.71,156.08,231.44,,27,969,36.5,28.4,,,,,
19.07.23 18:07:03,27.55,171.96,144.63,186.36,,27,969,36.5,28.4,,,,,
19.07.23 18:07:18,27.8,186.98,176.53,259.75,,27,969,36.5,28.4,,,,,
19.07.23 18:07:33,28.05,149.6,161.14,204.87,,27,969,36.5,28.4,,,,,
19.07.23 18:07:48,28.3,156.38,162.93,179.58,,27,969,36.5,28.39,969D6-(E1);,,,,
19.07.23 18:08:03,28.55,167.73,135.08,218.35,,27,969,36.5,28.38,,,,,
19.07.23 18:08:18,28.8,159.65,166.23,267.01,,27,969,36.5,28.38,,,,,
19.07.23 18:08:33,29.05,156.97,170.15,262.16,,27,969,36.5,28.39,,,,,
19.07.23 18:08:48,29.3,150.48,127.94,266.31,,27,969,36.5,28.4,,,,,
19.07.23 18:09:03,29.55,180.81,174.09,232.1,,27,969,36.5,28.38,,,,,
19.07.23 18:09:18,29.8,159.05,159.65,228.8,,27,969,36.5,28.38,969C4-(E1);,,,,
19.07.23 18:09:33,30.05,173.18,168.64,254.61,,27,969,36.5,28.38,,,,,
19.07.23 18:09:48,30.3,182.04,145.8,254.95,,27,969,36.5,28.36,,,,,
19.07.23 18:10:03,30.55,173.79,172.57,288.52,,27,969,36.5,28.36,,,,,
19.07.23 18:10:18,30.8,186.67,177.14,199.8,,27,969,36.5,28.36,969D6-(E1);,,,,
19.07.23 18:10:33,31.05,136.81,195.71,193.52,,27,969,36.5,28.36,,,,,
19.07.23 18:10:48,31.3,124.54,119.47,148.43,,27,969,36.5,28.35,969C4-(E1);,,,,
19.07.23 18:11:03,31.55,192.89,144.34,186.36,,27,969,36.5,28.33,,,,,
19.07.23 18:11:18,31.8,165.03,156.68,248.83,,27,969,36.5,28.33,,,,,
19.07.23 18:11:33,32.05,181.12,188.84,239.41,,27,969,36.5,28.33,969C3-(E1);,,,,
19.07.23 18:11:48,32.3,182.04,164.43,229.46,,27,969,36.5,28.32,969C3-(E1);,,,,
19.07.23 18:12:03,32.55,184.51,191.02,204.55,,27,969,36.5,28.32,,,,,
19.07.23 18:12:18,32.8,159.95,159.35,219.98,,27,969,36.5,28.32,,,,,
19.07.23 18:12:33,33.05,183.27,160.84,216.09,,27,969,36.5,28.33,,,,,
19.07.23 18:12:48,33.3,173.79,131.36,167.43,,27,969,36.5,28.33,969C3-(E1);,,,,
19.07.23 18:13:03,33.55,166.23,166.83,241.09,,27,969,36.5,28.33,969D6-(E1);,,,,
19.07.23 18:13:18,33.8,227.82,171.36,253.25,,27,969,36.5,28.32,,,,,
19.07.23 18:13:33,34.05,198.22,175.92,223.23,,27,969,36.5,28.32,,,,,
19.07.23 18:13:48,34.3,208.7,172.27,225.19,,27,969,36.5,28.33,,,,,
19.07.23 18:14:03,34.55,198.54,165.63,222.91,,27,969,36.5,28.32,969D6-(E1);,,,,
19.07.23 18:14:18,34.8,167.73,148.43,228.15,,27,969,36.5,28.3,,,,,
19.07.23 18:14:33,35.05,181.43,191.33,274.69,,27,969,36.5,28.3,,,,,
19.07.23 18:14:48,35.3,180.5,209.33,282.11,,27,969,36.5,28.29,969D6-(E1);,,,,
19.07.23 18:15:03,35.55,191.96,194.77,189.15,,27,969,36.5,28.29,,,,,
19.07.23 18:15:18,35.8,168.94,170.15,259.75,,27,969,36.5,28.29,,,,,
19.07.23 18:15:33,36.05,183.58,150.48,103.93,,27,969,36.5,28.28,,,,,
19.07.23 18:15:48,36.3,195.71,200.43,287.81,,27,969,36.5,28.28,969C4-(E1);,,,,
19.07.23 18:16:03,36.55,186.98,151.66,235.42,,27,969,36.5,28.28,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
