Measurement Name :,7192023P_13,,,,Generated On :,,,"19/07/2023, 15:58:17",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
19.07.23 15:47:45,28.8,181,181,287.81,263.2,181,181,163.23,304.09,143.17,144.92,136.81,163.23,276.45,236.75,208.06,236.41,181,185.74,181,239.08,246.46,231.11,181,181,27,969,36.5,31.76,
19.07.23 15:48:00,29.05,183,183,279.27,260.44,183,183,151.07,292.11,144.63,136.52,149.89,165.93,305.56,236.75,241.42,219.98,183,171.06,183,235.42,264.58,237.74,183,183,27,969,36.5,31.79,
19.07.23 15:48:15,29.3,182,182,277.51,255.29,182,182,139.98,293.55,147.26,124.54,147.55,162.33,252.91,233.09,218.03,241.09,182,164.73,182,236.08,242.43,218.68,182,182,27,969,36.5,31.82,
19.07.23 15:48:30,29.55,184,184,265.97,247.14,184,184,124.26,249.17,136.81,123.69,149.89,171.06,260.44,245.79,234.42,239.75,184,190.09,184,247.48,253.59,240.42,184,184,27,969,36.5,31.83,
19.07.23 15:48:45,29.8,183,183,279.27,246.8,183,183,152.83,300.44,146.09,126.52,142.59,173.18,298.99,212.54,230.78,229.13,183,184.2,183,236.41,263.89,229.79,183,183,27,969,36.5,31.86,
19.07.23 15:49:00,30.05,185,185,284.6,253.25,185,185,160.84,268.75,155.2,136.52,138.25,175.92,293.92,228.8,220.63,238.08,185,198.85,185,244.11,263.54,237.41,185,185,27,969,36.5,31.9,
19.07.23 15:49:15,30.3,184,184,270.49,254.27,184,184,148.43,273.64,143.47,129.36,136.23,159.95,279.27,227.82,233.09,229.46,184,175,184,239.08,248.49,225.52,184,184,27,969,36.5,31.91,
19.07.23 15:49:30,30.55,186,186,269.44,264.93,186,186,131.93,272.94,146.09,133.65,143.76,164.13,311.45,240.75,241.76,240.75,186,163.23,186,229.46,263.89,228.8,186,186,27,969,36.5,31.96,
19.07.23 15:49:45,30.8,185,185,283.88,256.32,185,185,146.67,289.96,140.85,125.96,141.14,154.31,291.39,242.09,230.12,231.11,185,179.58,185,231.77,256.32,244.44,185,185,27,969,36.5,31.97,
19.07.23 15:50:00,31.05,187,187,281.75,250.53,187,187,134.51,300.44,148.13,146.38,146.67,165.93,272.59,243.1,228.47,238.41,187,171.06,187,273.99,255.29,243.1,187,187,27,969,36.5,32,
19.07.23 15:50:15,31.3,186,186,279.63,251.88,186,186,127.37,269.44,132.22,134.22,141.43,166.53,289.96,232.1,230.12,215.12,186,179.58,186,233.09,246.8,221.6,186,186,27,969,36.5,32.04,
19.07.23 15:50:30,31.55,188,188,268.05,259.41,188,188,125.67,302.26,105.3,131.93,148.13,159.05,307.76,227.49,224.21,230.12,188,172.87,188,235.42,239.41,237.08,188,188,27,969,36.5,32.05,
19.07.23 15:50:45,31.8,187,187,275.4,245.45,187,187,138.54,286.02,134.51,126.81,150.19,160.84,264.23,226.5,246.13,216.73,187,176.22,187,223.23,236.08,222.91,187,187,27,969,36.5,32.08,
19.07.23 15:51:00,32.05,189,189,286.02,273.99,189,189,122.85,278.21,145.5,137.96,151.95,153.42,292.11,226.83,231.11,231.77,189,186.05,189,258.03,274.69,238.41,189,189,27,969,36.5,32.11,
19.07.23 15:51:15,32.3,188,188,281.75,263.2,188,188,149.01,277.86,133.65,126.81,136.23,162.93,285.66,242.09,229.46,236.08,188,206.46,188,230.78,243.77,246.8,188,188,27,969,36.5,32.14,
19.07.23 15:51:30,32.55,190,190,283.17,263.2,190,190,140.27,250.53,130.79,124.54,128.51,166.23,279.27,247.48,219.98,241.42,190,181.43,190,267.7,249.17,242.43,190,190,27,969,36.5,32.15,
19.07.23 15:51:45,32.8,189,189,277.86,269.44,189,189,127.94,293.19,131.08,125.11,136.23,163.53,298.99,228.8,211.26,215.44,189,172.27,189,225.19,251.88,221.93,189,189,27,969,36.5,32.18,
19.07.23 15:52:00,33.05,191,191,281.4,259.41,191,191,142.01,307.02,138.83,117.23,150.19,163.23,292.83,240.75,236.08,240.75,191,163.53,191,232.43,257.35,217.38,191,191,27,969,36.5,32.22,
19.07.23 15:52:15,33.3,190,190,264.23,260.44,190,190,131.93,262.51,121.44,116.67,137.67,159.95,303.36,227.82,240.42,216.41,190,173.79,190,228.47,286.74,228.15,190,190,27,969,36.5,32.25,
19.07.23 15:52:30,33.55,192,192,291.03,262.16,192,192,137.67,284.6,119.19,126.81,149.31,168.04,315.53,236.08,235.08,235.08,192,157.57,192,234.75,247.82,238.75,192,192,27,969,36.5,32.26,
19.07.23 15:52:45,33.8,191,191,284.6,267.36,191,191,125.39,272.59,131.36,135.95,138.83,156.08,311.08,221.6,234.42,221.6,191,182.66,191,266.31,249.51,245.79,191,191,27,969,36.5,32.29,
19.07.23 15:53:00,34.05,193,193,279.63,244.78,193,193,140.85,298.26,120.87,105.58,131.36,161.44,308.5,212.86,249.17,222.91,193,157.27,193,236.08,246.46,227.82,193,193,27,969,36.5,32.33,
19.07.23 15:53:15,34.3,192,192,286.02,266.66,192,192,133.65,277.86,125.96,123.41,132.79,161.73,307.76,221.93,231.11,220.95,192,189.46,192,249.51,259.75,242.43,192,192,27,969,36.5,32.36,
19.07.23 15:53:30,34.55,194,194,281.04,264.58,194,194,128.8,272.94,147.26,130.22,134.8,151.36,313.67,247.14,235.08,235.08,194,174.39,194,247.48,257,225.85,194,194,27,969,36.5,32.38,
19.07.23 15:53:45,34.8,193,193,284.95,263.89,193,193,145.5,325.26,134.8,118.63,149.6,165.33,318.13,211.58,242.43,237.74,193,195.71,193,246.8,251.54,235.08,193,193,27,969,36.5,32.41,
19.07.23 15:54:00,35.05,195,195,282.11,260.09,195,195,107.51,284.6,146.09,113.6,137.96,157.57,284.6,228.8,234.75,216.41,195,157.57,195,237.74,241.09,244.44,195,195,27,969,36.5,32.44,
19.07.23 15:54:15,35.3,194,194,283.17,255.98,194,194,116.39,303.36,116.67,123.69,137.1,145.5,311.82,231.44,238.41,240.75,194,182.04,194,209.01,258.72,236.41,194,194,27,969,36.5,32.47,
19.07.23 15:54:30,35.55,196,196,286.02,255.63,196,196,124.54,276.1,128.51,112.77,139.41,157.86,317.02,218.68,218.35,229.46,196,168.04,196,241.42,246.46,236.41,196,196,27,969,36.5,32.5,
19.07.23 15:54:45,35.8,195,195,278.21,262.16,195,195,129.93,322.25,128.51,116.67,135.95,154.31,306.66,232.1,235.75,243.1,195,177.44,195,241.09,248.83,241.76,195,195,27,969,36.5,32.53,
19.07.23 15:55:00,36.05,197,197,297.53,280.33,197,197,127.94,295.72,137.1,141.72,139.98,169.85,295.36,257,240.75,239.08,197,171.36,197,243.43,262.16,245.79,197,197,27,969,36.5,32.55,
19.07.23 15:55:15,36.3,196,196,263.54,254.27,196,196,130.22,279.98,122,126.52,136.52,152.83,301.9,276.8,250.19,225.19,196,160.84,196,237.74,254.27,233.09,196,196,27,969,36.5,32.58,
19.07.23 15:55:30,36.55,198,198,297.9,263.54,198,198,131.65,288.17,115.55,120.87,130.22,161.44,312.19,226.5,258.72,228.47,198,173.18,198,209.33,248.83,256.32,198,198,27,969,36.5,32.61,
19.07.23 15:55:45,36.8,197,197,279.27,256.66,197,197,114.44,326.01,115.83,111.65,122.56,146.38,307.02,210.62,258.03,231.11,197,169.24,197,242.43,263.54,224.21,197,197,27,969,36.5,32.64,
19.07.23 15:56:00,37.05,199,199,279.27,258.72,199,199,116.95,289.96,107.51,109.99,118.91,143.76,309.23,229.79,236.41,221.93,199,165.63,199,247.48,256.66,228.15,199,199,27,969,36.5,32.65,
19.07.23 15:56:15,37.3,198,198,285.66,258.72,198,198,114.16,298.62,110.55,121.15,135.66,161.44,313.67,241.42,254.95,237.08,198,171.66,198,255.63,265.27,243.1,198,198,27,969,36.5,32.68,
19.07.23 15:56:30,37.55,200,200,286.38,267.7,200,200,136.52,274.69,135.08,126.52,138.25,175,335.13,230.45,243.43,248.15,200,173.48,200,261.82,259.75,225.19,200,200,27,969,36.5,32.71,
19.07.23 15:56:45,37.8,199,199,282.82,254.27,199,199,139.7,307.76,125.67,124.54,131.65,144.92,344.36,224.21,237.74,215.44,199,161.14,199,253.59,258.03,231.11,199,199,27,969,36.5,32.72,
19.07.23 15:57:00,38.05,201,201,273.29,258.03,201,201,118.91,330.94,130.5,111.93,129.65,157.57,318.88,242.09,245.45,220.95,201,159.65,201,248.49,259.06,231.44,201,201,27,969,36.5,32.72,
