Measurement Name :,7192023R_run14,,,,,,,,,,,,,,,Generated On :,,,,,,,,"19/07/2023, 18:17:44",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
"
19.07.23 17:49:03,9.55,144,144,144,144,144,144,144,144,144,144,144,144,144,131.93,156.97,144,144,144,144,144,144,144,251.2,144,27,969,36.5,28.44,,,,,
19.07.23 17:49:18,9.8,143,143,143,143,143,143,143,143,143,143,143,143,143,118.91,152.83,143,143,143,143,143,143,143,271.54,143,27,969,36.5,28.47,,,,,
19.07.23 17:49:33,10.05,145,145,145,145,145,145,145,145,145,145,145,145,145,122,146.09,145,145,145,145,145,145,145,245.45,145,27,969,36.5,28.47,,,,,
19.07.23 17:49:48,10.3,144,144,144,144,144,144,144,144,144,144,144,144,144,145.5,185.12,144,144,144,144,144,144,144,398.96,144,27,969,36.5,28.5,969C3-(E1);,,,,
19.07.23 17:50:03,10.55,146,146,146,146,146,146,146,146,146,146,146,146,146,147.26,118.07,146,146,146,146,146,146,146,330.18,146,27,969,36.5,28.51,,,,,
19.07.23 17:50:18,10.8,145,145,145,145,145,145,145,145,145,145,145,145,145,100.37,167.73,145,145,145,145,145,145,145,229.46,145,27,969,36.5,28.51,,,,,
19.07.23 17:50:33,11.05,147,147,147,147,147,147,147,147,147,147,147,147,147,153.13,170.15,147,147,147,147,147,147,147,302.99,147,27,969,36.5,28.51,,,,,
19.07.23 17:50:48,11.3,146,146,146,146,146,146,146,146,146,146,146,146,146,113.6,157.27,146,146,146,146,146,146,146,209.65,146,27,969,36.5,28.53,,,,,
19.07.23 17:51:03,11.55,148,148,148,148,148,148,148,148,148,148,148,148,148,139.12,146.38,148,148,148,148,148,148,148,185.43,148,27,969,36.5,28.54,,,,,
19.07.23 17:51:18,11.8,147,147,147,147,147,147,147,147,147,147,147,147,147,131.93,174.09,147,147,147,147,147,147,147,233.09,147,27,969,36.5,28.54,,,,,
19.07.23 17:51:33,12.05,149,149,149,149,149,149,149,149,149,149,149,149,149,96.56,154.31,149,149,149,149,149,149,149,283.17,149,27,969,36.5,28.54,,,,,
19.07.23 17:51:48,12.3,148,148,148,148,148,148,148,148,148,148,148,148,148,112.21,184.82,148,148,148,148,148,148,148,232.1,148,27,969,36.5,28.55,,,,,
19.07.23 17:52:03,12.55,150,150,150,150,150,150,150,150,150,150,150,150,150,135.66,140.85,150,150,150,150,150,150,150,224.21,150,27,969,36.5,28.55,,,,,
19.07.23 17:52:18,12.8,149,149,149,149,149,149,149,149,149,149,149,149,149,144.05,154.01,149,149,149,149,149,149,149,199.49,149,27,969,36.5,28.58,,,,,
19.07.23 17:52:33,13.05,151,151,151,151,151,151,151,151,151,151,151,151,151,125.67,149.6,151,151,151,151,151,151,151,208.7,151,27,969,36.5,28.57,,,,,
19.07.23 17:52:48,13.3,150,150,150,150,150,150,150,150,150,150,150,150,150,142.59,167.43,150,150,150,150,150,150,150,251.2,150,27,969,36.5,28.58,,,,,
19.07.23 17:53:03,13.55,152,152,152,152,152,152,152,152,152,152,152,152,152,107.23,180.81,152,152,152,152,152,152,152,194.46,152,27,969,36.5,28.58,,,,,
19.07.23 17:53:18,13.8,151,151,151,151,151,151,151,151,151,151,151,151,151,177.44,168.94,151,151,151,151,151,151,151,244.11,151,27,969,36.5,28.58,,,,,
19.07.23 17:53:33,14.05,153,153,153,153,153,153,153,153,153,153,153,153,153,114.16,161.73,153,153,153,153,153,153,153,263.89,153,27,969,36.5,28.58,,,,,
19.07.23 17:53:48,14.3,152,152,152,152,152,152,152,152,152,152,152,152,152,141.14,146.96,152,152,152,152,152,152,152,259.06,152,27,969,36.5,28.6,,,,,
19.07.23 17:54:03,14.55,154,154,154,154,154,154,154,154,154,154,154,154,154,129.08,163.53,154,154,154,154,154,154,154,265.62,154,27,969,36.5,28.58,,,,,
19.07.23 17:54:18,14.8,153,153,153,153,153,153,153,153,153,153,153,153,153,114.44,142.3,153,153,153,153,153,153,153,188.84,153,27,969,36.5,28.61,,,,,
19.07.23 17:54:33,15.05,155,155,155,155,155,155,155,155,155,155,155,155,155,120.03,168.94,155,155,155,155,155,155,155,287.45,155,27,969,36.5,28.58,,,,,
19.07.23 17:54:48,15.3,154,154,154,154,154,154,154,154,154,154,154,154,154,131.65,159.95,154,154,154,154,154,154,154,186.36,154,27,969,36.5,28.6,,,,,
19.07.23 17:55:03,15.55,156,156,156,156,156,156,156,156,156,156,156,156,156,114.71,201.7,156,156,156,156,156,156,156,230.78,156,27,969,36.5,28.58,,,,,
19.07.23 17:55:18,15.8,155,155,155,155,155,155,155,155,155,155,155,155,155,138.54,162.03,155,155,155,155,155,155,155,255.98,155,27,969,36.5,28.6,,,,,
19.07.23 17:55:33,16.05,157,157,157,157,157,157,157,157,157,157,157,157,157,133.65,146.09,157,157,157,157,157,157,157,259.75,157,27,969,36.5,28.58,969D6-(E1);,,,,
19.07.23 17:55:48,16.3,156,156,156,156,156,156,156,156,156,156,156,156,156,139.98,152.54,156,156,156,156,156,156,156,239.41,156,27,969,36.5,28.58,969D6-(E1);,,,,
19.07.23 17:56:03,16.55,158,158,158,158,158,158,158,158,158,158,158,158,158,160.54,155.2,158,158,158,158,158,158,158,297.9,158,27,969,36.5,28.58,,,,,
19.07.23 17:56:18,16.8,157,157,157,157,157,157,157,157,157,157,157,157,157,142.59,161.14,157,157,157,157,157,157,157,234.09,157,27,969,36.5,28.6,,,,,
19.07.23 17:56:33,17.05,159,159,159,159,159,159,159,159,159,159,159,159,159,138.25,142.88,159,159,159,159,159,159,159,330.56,159,27,969,36.5,28.58,,,,,
19.07.23 17:56:48,17.3,158,158,158,158,158,158,158,158,158,158,158,158,158,124.82,152.83,158,158,158,158,158,158,158,218.03,158,27,969,36.5,28.58,,,,,
19.07.23 17:57:03,17.55,160,160,160,160,160,160,160,160,160,160,160,160,160,152.24,147.55,160,160,160,160,160,160,160,187.6,160,27,969,36.5,28.58,,,,,
19.07.23 17:57:18,17.8,159,159,159,159,159,159,159,159,159,159,159,159,159,81.8,228.15,159,159,159,159,159,159,159,140.56,159,27,969,36.5,28.58,,,,,
19.07.23 17:57:33,18.05,161,161,161,161,161,161,161,161,161,161,161,161,161,133.94,163.53,161,161,161,161,161,161,161,284.6,161,27,969,36.5,28.58,,,,,
19.07.23 17:57:48,18.3,160,160,160,160,160,160,160,160,160,160,160,160,160,144.92,158.75,160,160,160,160,160,160,160,263.54,160,27,969,36.5,28.58,,,,,
19.07.23 17:58:03,18.55,162,162,162,162,162,162,162,162,162,162,162,162,162,142.59,176.83,162,162,162,162,162,162,162,350.96,162,27,969,36.5,28.58,,,,,
19.07.23 17:58:18,18.8,161,161,161,161,161,161,161,161,161,161,161,161,161,130.79,144.92,161,161,161,161,161,161,161,240.08,161,27,969,36.5,28.55,,,,,
19.07.23 17:58:33,19.05,163,163,163,163,163,163,163,163,163,163,163,163,163,171.66,175.61,163,163,163,163,163,163,163,204.23,163,27,969,36.5,28.55,,,,,
19.07.23 17:58:48,19.3,162,162,162,162,162,162,162,162,162,162,162,162,162,160.84,142.88,162,162,162,162,162,162,162,276.8,162,27,969,36.5,28.55,,,,,
19.07.23 17:59:03,19.55,164,164,164,164,164,164,164,164,164,164,164,164,164,121.72,143.76,164,164,164,164,164,164,164,227.49,164,27,969,36.5,28.54,,,,,
19.07.23 17:59:18,19.8,163,163,163,163,163,163,163,163,163,163,163,163,163,157.86,175.92,163,163,163,163,163,163,163,197.91,163,27,969,36.5,28.54,969D6-(E1);,,,,
19.07.23 17:59:33,20.05,165,165,165,165,165,165,165,165,165,165,165,165,165,134.51,180.2,165,165,165,165,165,165,165,176.53,165,27,969,36.5,28.54,,,,,
19.07.23 17:59:48,20.3,164,164,164,164,164,164,164,164,164,164,164,164,164,151.36,149.6,164,164,164,164,164,164,164,205.19,164,27,969,36.5,28.54,,,,,
19.07.23 18:00:03,20.55,166,166,166,166,166,166,166,166,166,166,166,166,166,169.54,168.34,166,166,166,166,166,166,166,245.79,166,27,969,36.5,28.53,,,,,
19.07.23 18:00:18,20.8,165,165,165,165,165,165,165,165,165,165,165,165,165,147.84,148.72,165,165,165,165,165,165,165,268.75,165,27,969,36.5,28.53,,,,,
19.07.23 18:00:33,21.05,167,167,167,167,167,167,167,167,167,167,167,167,167,144.92,159.65,167,167,167,167,167,167,167,248.15,167,27,969,36.5,28.51,,,,,
19.07.23 18:00:48,21.3,166,166,166,166,166,166,166,166,166,166,166,166,166,148.72,171.96,166,166,166,166,166,166,166,305.19,166,27,969,36.5,28.51,,,,,
19.07.23 18:01:03,21.55,168,168,168,168,168,168,168,168,168,168,168,168,168,161.44,174.39,168,168,168,168,168,168,168,202.65,168,27,969,36.5,28.5,,,,,
19.07.23 18:01:18,21.8,167,167,167,167,167,167,167,167,167,167,167,167,167,134.51,152.83,167,167,167,167,167,167,167,249.51,167,27,969,36.5,28.5,,,,,
19.07.23 18:01:33,22.05,169,169,169,169,169,169,169,169,169,169,169,169,169,165.93,149.31,169,169,169,169,169,169,169,233.43,169,27,969,36.5,28.5,,,,,
19.07.23 18:01:48,22.3,168,168,168,168,168,168,168,168,168,168,168,168,168,179.58,191.64,168,168,168,168,168,168,168,250.86,168,27,969,36.5,28.5,,,,,
19.07.23 18:02:03,22.55,170,170,170,170,170,170,170,170,170,170,170,170,170,178.05,190.4,170,170,170,170,170,170,170,299.71,170,27,969,36.5,28.47,,,,,
19.07.23 18:02:18,22.8,169,169,169,169,169,169,169,169,169,169,169,169,169,178.97,165.03,169,169,169,169,169,169,169,289.6,169,27,969,36.5,28.47,,,,,
19.07.23 18:02:33,23.05,171,171,171,171,171,171,171,171,171,171,171,171,171,142.59,190.71,171,171,171,171,171,171,171,225.19,171,27,969,36.5,28.47,,,,,
19.07.23 18:02:48,23.3,170,170,170,170,170,170,170,170,170,170,170,170,170,149.01,155.2,170,170,170,170,170,170,170,183.58,170,27,969,36.5,28.46,,,,,
19.07.23 18:03:03,23.55,172,172,172,172,172,172,172,172,172,172,172,172,172,144.63,130.22,172,172,172,172,172,172,172,212.86,172,27,969,36.5,28.44,,,,,
19.07.23 18:03:18,23.8,171,171,171,171,171,171,171,171,171,171,171,171,171,151.66,152.54,171,171,171,171,171,171,171,179.89,171,27,969,36.5,28.44,,,,,
19.07.23 18:03:33,24.05,173,173,173,173,173,173,173,173,173,173,173,173,173,173.18,194.46,173,173,173,173,173,173,173,266.31,173,27,969,36.5,28.46,,,,,
19.07.23 18:03:48,24.3,172,172,172,172,172,172,172,172,172,172,172,172,172,154.6,190.09,172,172,172,172,172,172,172,250.53,172,27,969,36.5,28.46,,,,,
19.07.23 18:04:03,24.55,174,174,174,174,174,174,174,174,174,174,174,174,174,192.89,172.57,174,174,174,174,174,174,174,219.33,174,27,969,36.5,28.46,,,,,
19.07.23 18:04:18,24.8,173,173,173,173,173,173,173,173,173,173,173,173,173,173.48,171.96,173,173,173,173,173,173,173,288.88,173,27,969,36.5,28.46,,,,,
19.07.23 18:04:33,25.05,175,175,175,175,175,175,175,175,175,175,175,175,175,168.34,173.18,175,175,175,175,175,175,175,230.45,175,27,969,36.5,28.44,,,,,
19.07.23 18:04:48,25.3,174,174,174,174,174,174,174,174,174,174,174,174,174,163.83,149.6,174,174,174,174,174,174,174,172.57,174,27,969,36.5,28.43,,,,,
19.07.23 18:05:03,25.55,176,176,176,176,176,176,176,176,176,176,176,176,176,149.6,153.42,176,176,176,176,176,176,176,244.78,176,27,969,36.5,28.44,969D6-(E1);,,,,
19.07.23 18:05:18,25.8,175,175,175,175,175,175,175,175,175,175,175,175,175,171.66,154.01,175,175,175,175,175,175,175,320,175,27,969,36.5,28.43,,,,,
19.07.23 18:05:33,26.05,177,177,177,177,177,177,177,177,177,177,177,177,177,178.97,201.06,177,177,177,177,177,177,177,287.09,177,27,969,36.5,28.43,,,,,
19.07.23 18:05:48,26.3,176,176,176,176,176,176,176,176,176,176,176,176,176,182.35,186.36,176,176,176,176,176,176,176,290.32,176,27,969,36.5,28.43,,,,,
19.07.23 18:06:03,26.55,178,178,178,178,178,178,178,178,178,178,178,178,178,156.68,171.06,178,178,178,178,178,178,178,166.23,178,27,969,36.5,28.41,,,,,
19.07.23 18:06:18,26.8,177,177,177,177,177,177,177,177,177,177,177,177,177,155.49,174.39,177,177,177,177,177,177,177,185.12,177,27,969,36.5,28.41,,,,,
19.07.23 18:06:33,27.05,179,179,179,179,179,179,179,179,179,179,179,179,179,176.22,151.07,179,179,179,179,179,179,179,237.41,179,27,969,36.5,28.4,,,,,
19.07.23 18:06:48,27.3,178,178,178,178,178,178,178,178,178,178,178,178,178,190.71,156.08,178,178,178,178,178,178,178,231.44,178,27,969,36.5,28.4,,,,,
19.07.23 18:07:03,27.55,180,180,180,180,180,180,180,180,180,180,180,180,180,171.96,144.63,180,180,180,180,180,180,180,186.36,180,27,969,36.5,28.4,,,,,
19.07.23 18:07:18,27.8,179,179,179,179,179,179,179,179,179,179,179,179,179,186.98,176.53,179,179,179,179,179,179,179,259.75,179,27,969,36.5,28.4,,,,,
19.07.23 18:07:33,28.05,181,181,181,181,181,181,181,181,181,181,181,181,181,149.6,161.14,181,181,181,181,181,181,181,204.87,181,27,969,36.5,28.4,,,,,
19.07.23 18:07:48,28.3,180,180,180,180,180,180,180,180,180,180,180,180,180,156.38,162.93,180,180,180,180,180,180,180,179.58,180,27,969,36.5,28.39,969D6-(E1);,,,,
19.07.23 18:08:03,28.55,182,182,182,182,182,182,182,182,182,182,182,182,182,167.73,135.08,182,182,182,182,182,182,182,218.35,182,27,969,36.5,28.38,,,,,
19.07.23 18:08:18,28.8,181,181,181,181,181,181,181,181,181,181,181,181,181,159.65,166.23,181,181,181,181,181,181,181,267.01,181,27,969,36.5,28.38,,,,,
19.07.23 18:08:33,29.05,183,183,183,183,183,183,183,183,183,183,183,183,183,156.97,170.15,183,183,183,183,183,183,183,262.16,183,27,969,36.5,28.39,,,,,
19.07.23 18:08:48,29.3,182,182,182,182,182,182,182,182,182,182,182,182,182,150.48,127.94,182,182,182,182,182,182,182,266.31,182,27,969,36.5,28.4,,,,,
19.07.23 18:09:03,29.55,184,184,184,184,184,184,184,184,184,184,184,184,184,180.81,174.09,184,184,184,184,184,184,184,232.1,184,27,969,36.5,28.38,,,,,
19.07.23 18:09:18,29.8,183,183,183,183,183,183,183,183,183,183,183,183,183,159.05,159.65,183,183,183,183,183,183,183,228.8,183,27,969,36.5,28.38,969C4-(E1);,,,,
19.07.23 18:09:33,30.05,185,185,185,185,185,185,185,185,185,185,185,185,185,173.18,168.64,185,185,185,185,185,185,185,254.61,185,27,969,36.5,28.38,,,,,
19.07.23 18:09:48,30.3,184,184,184,184,184,184,184,184,184,184,184,184,184,182.04,145.8,184,184,184,184,184,184,184,254.95,184,27,969,36.5,28.36,,,,,
19.07.23 18:10:03,30.55,186,186,186,186,186,186,186,186,186,186,186,186,186,173.79,172.57,186,186,186,186,186,186,186,288.52,186,27,969,36.5,28.36,,,,,
19.07.23 18:10:18,30.8,185,185,185,185,185,185,185,185,185,185,185,185,185,186.67,177.14,185,185,185,185,185,185,185,199.8,185,27,969,36.5,28.36,969D6-(E1);,,,,
19.07.23 18:10:33,31.05,187,187,187,187,187,187,187,187,187,187,187,187,187,136.81,195.71,187,187,187,187,187,187,187,193.52,187,27,969,36.5,28.36,,,,,
19.07.23 18:10:48,31.3,186,186,186,186,186,186,186,186,186,186,186,186,186,124.54,119.47,186,186,186,186,186,186,186,148.43,186,27,969,36.5,28.35,969C4-(E1);,,,,
19.07.23 18:11:03,31.55,188,188,188,188,188,188,188,188,188,188,188,188,188,192.89,144.34,188,188,188,188,188,188,188,186.36,188,27,969,36.5,28.33,,,,,
19.07.23 18:11:18,31.8,187,187,187,187,187,187,187,187,187,187,187,187,187,165.03,156.68,187,187,187,187,187,187,187,248.83,187,27,969,36.5,28.33,,,,,
19.07.23 18:11:33,32.05,189,189,189,189,189,189,189,189,189,189,189,189,189,181.12,188.84,189,189,189,189,189,189,189,239.41,189,27,969,36.5,28.33,969C3-(E1);,,,,
19.07.23 18:11:48,32.3,188,188,188,188,188,188,188,188,188,188,188,188,188,182.04,164.43,188,188,188,188,188,188,188,229.46,188,27,969,36.5,28.32,969C3-(E1);,,,,
19.07.23 18:12:03,32.55,190,190,190,190,190,190,190,190,190,190,190,190,190,184.51,191.02,190,190,190,190,190,190,190,204.55,190,27,969,36.5,28.32,,,,,
19.07.23 18:12:18,32.8,189,189,189,189,189,189,189,189,189,189,189,189,189,159.95,159.35,189,189,189,189,189,189,189,219.98,189,27,969,36.5,28.32,,,,,
19.07.23 18:12:33,33.05,191,191,191,191,191,191,191,191,191,191,191,191,191,183.27,160.84,191,191,191,191,191,191,191,216.09,191,27,969,36.5,28.33,,,,,
19.07.23 18:12:48,33.3,190,190,190,190,190,190,190,190,190,190,190,190,190,173.79,131.36,190,190,190,190,190,190,190,167.43,190,27,969,36.5,28.33,969C3-(E1);,,,,
19.07.23 18:13:03,33.55,192,192,192,192,192,192,192,192,192,192,192,192,192,166.23,166.83,192,192,192,192,192,192,192,241.09,192,27,969,36.5,28.33,969D6-(E1);,,,,
19.07.23 18:13:18,33.8,191,191,191,191,191,191,191,191,191,191,191,191,191,227.82,171.36,191,191,191,191,191,191,191,253.25,191,27,969,36.5,28.32,,,,,
19.07.23 18:13:33,34.05,193,193,193,193,193,193,193,193,193,193,193,193,193,198.22,175.92,193,193,193,193,193,193,193,223.23,193,27,969,36.5,28.32,,,,,
19.07.23 18:13:48,34.3,192,192,192,192,192,192,192,192,192,192,192,192,192,208.7,172.27,192,192,192,192,192,192,192,225.19,192,27,969,36.5,28.33,,,,,
19.07.23 18:14:03,34.55,194,194,194,194,194,194,194,194,194,194,194,194,194,198.54,165.63,194,194,194,194,194,194,194,222.91,194,27,969,36.5,28.32,969D6-(E1);,,,,
19.07.23 18:14:18,34.8,193,193,193,193,193,193,193,193,193,193,193,193,193,167.73,148.43,193,193,193,193,193,193,193,228.15,193,27,969,36.5,28.3,,,,,
19.07.23 18:14:33,35.05,195,195,195,195,195,195,195,195,195,195,195,195,195,181.43,191.33,195,195,195,195,195,195,195,274.69,195,27,969,36.5,28.3,,,,,
