Measurement Name :,7192023RR,,Generated On :,"19/07/2023, 13:22:27",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,
19.07.23 12:48:53,11.05,46.13,62.7,74.67,31.93,41.12,42.62,45.13,46.89,48.65,42.37,212.54,222.91,221.6,209.97,,27,969,36.5,27.82,
19.07.23 12:49:08,11.3,53.98,62.7,73.62,36.63,40.37,43.87,45.13,49.41,48.4,38.87,211.26,222.58,220.95,210.62,,27,969,36.5,27.82,
19.07.23 12:49:23,11.55,52.71,61.15,74.94,43.12,41.37,43.37,48.15,43.62,46.89,38.37,213.83,221.93,220.95,209.01,,27,969,36.5,27.79,
19.07.23 12:49:38,11.8,48.65,61.15,70.48,35.15,40.37,43.12,47.14,41.37,45.63,40.87,212.54,222.91,220.3,210.3,,27,969,36.5,27.78,
19.07.23 12:49:53,12.05,60.12,60.64,70.48,38.12,41.12,42.87,43.37,45.63,46.38,42.37,212.22,222.25,220.63,209.33,,27,969,36.5,27.78,
19.07.23 12:50:08,12.3,68.66,65.28,68.66,41.12,48.65,40.62,45.13,50.68,46.38,45.38,212.54,222.91,220.63,209.33,,27,969,36.5,27.76,
19.07.23 12:50:23,12.55,56.79,63.99,67.88,33.91,47.64,39.87,46.13,36.88,47.14,42.87,212.86,222.91,220.63,210.3,,27,969,36.5,27.76,
19.07.23 12:50:38,12.8,55.26,62.7,71.53,34.65,40.37,44.62,42.62,42.12,47.14,41.62,211.58,221.28,219.65,209.01,,27,969,36.5,27.72,
19.07.23 12:50:53,13.05,49.67,58.33,65.28,32.18,40.37,40.12,42.12,42.62,46.38,41.12,212.54,221.28,221.28,209.33,,27,969,36.5,27.72,
19.07.23 12:51:08,13.3,46.13,58.07,65.54,33.17,39.87,38.87,41.87,37.63,45.38,41.37,212.22,221.93,220.63,208.38,,27,969,36.5,27.72,
19.07.23 12:51:23,13.55,44.62,59.61,65.02,32.18,41.37,46.38,47.14,37.13,44.37,41.87,212.54,221.6,220.95,208.7,,27,969,36.5,27.71,
19.07.23 12:51:38,13.8,45.13,57.3,64.76,39.62,40.12,43.87,43.62,36.63,45.38,46.13,212.22,220.95,220.3,208.38,,27,969,36.5,27.68,
19.07.23 12:51:53,14.05,44.62,57.56,64.51,34.9,39.37,44.62,46.13,38.12,47.64,43.87,211.9,221.6,219.98,208.7,,27,969,36.5,27.68,
19.07.23 12:52:08,14.3,58.58,58.33,64.25,30.46,40.12,45.13,45.13,37.63,47.14,44.87,210.62,220.3,220.3,207.74,,27,969,36.5,27.66,
19.07.23 12:52:23,14.55,51.69,57.3,67.62,32.43,40.12,45.63,42.87,38.62,49.16,39.37,211.26,221.28,220.3,208.7,,27,969,36.5,27.65,
19.07.23 12:52:38,14.8,44.12,62.7,65.28,38.87,39.37,45.88,46.13,38.12,40.87,40.37,210.3,221.6,220.3,207.42,,27,969,36.5,27.65,
19.07.23 12:52:53,15.05,43.62,57.81,61.92,30.21,40.12,45.13,43.12,38.62,40.62,41.37,212.54,221.6,219.33,207.42,,27,969,36.5,27.63,
19.07.23 12:53:08,15.3,43.87,58.84,60.64,29.72,39.62,45.63,46.38,42.87,39.87,39.87,211.26,220.3,219.33,206.46,,27,969,36.5,27.61,
19.07.23 12:53:23,15.55,47.39,53.73,62.18,30.21,39.62,45.38,43.12,41.62,38.87,39.62,210.3,220.3,219.33,207.74,,27,969,36.5,27.63,
19.07.23 12:53:38,15.8,51.95,52.96,59.61,30.7,40.12,48.4,45.88,37.63,38.62,37.13,209.97,219.98,218.35,207.1,,27,969,36.5,27.6,
19.07.23 12:53:53,16.05,43.37,56.02,60.12,31.19,39.37,46.13,47.64,37.63,39.62,37.38,210.3,219,218.68,207.1,,27,969,36.5,27.58,
19.07.23 12:54:08,16.3,44.87,57.56,59.61,36.14,39.12,47.39,44.37,40.62,39.37,37.38,211.9,220.3,219.65,207.74,,27,969,36.5,27.58,
19.07.23 12:54:23,16.55,51.19,63.21,58.33,31.44,40.87,46.64,43.62,39.62,39.87,37.38,210.94,221.28,218.68,206.46,,27,969,36.5,27.55,
19.07.23 12:54:38,16.8,46.89,53.98,57.3,33.17,39.87,47.64,43.37,38.12,40.12,37.38,211.9,220.63,218.35,207.1,,27,969,36.5,27.55,
19.07.23 12:54:53,17.05,51.95,49.67,60.12,30.21,40.12,45.13,43.12,37.38,38.12,36.63,210.3,219.33,219,206.14,,27,969,36.5,27.54,
19.07.23 12:55:08,17.3,49.92,50.68,56.02,30.46,39.62,45.38,44.12,37.88,38.87,35.64,212.22,219.98,219,206.78,,27,969,36.5,27.54,
19.07.23 12:55:23,17.55,46.38,49.92,56.28,29.23,39.37,44.37,45.38,37.13,38.87,36.63,209.01,218.68,217.06,205.51,,27,969,36.5,27.54,
19.07.23 12:55:38,17.8,43.62,51.95,55,31.19,40.12,43.37,44.62,37.13,39.87,35.64,210.94,219.98,218.68,205.19,,27,969,36.5,27.53,
19.07.23 12:55:53,18.05,47.64,55,54.75,29.47,38.87,43.12,48.65,37.13,38.62,41.12,211.26,219.33,218.35,206.46,,27,969,36.5,27.51,
19.07.23 12:56:08,18.3,47.14,48.15,52.71,30.95,38.87,47.64,43.87,36.38,38.37,41.87,210.3,218.35,218.35,206.14,,27,969,36.5,27.51,
19.07.23 12:56:23,18.55,49.67,48.91,55,33.17,40.12,50.93,45.63,36.63,39.12,43.37,209.33,218.68,217.06,206.46,,27,969,36.5,27.51,
19.07.23 12:56:38,18.8,46.38,48.15,53.22,37.63,39.87,41.87,44.12,37.63,38.62,39.87,210.94,218.68,218.03,204.87,,27,969,36.5,27.5,
19.07.23 12:56:53,19.05,42.87,47.64,49.16,31.93,39.12,43.87,42.87,37.38,39.37,35.89,209.33,218.68,218.03,206.46,,27,969,36.5,27.47,
19.07.23 12:57:08,19.3,48.65,48.4,48.65,36.14,39.37,43.12,44.12,35.89,38.37,36.14,209.65,219.33,217.38,204.55,,27,969,36.5,27.47,
19.07.23 12:57:23,19.55,52.96,52.71,46.89,33.91,38.87,43.12,49.67,36.88,39.37,39.62,208.7,217.38,216.73,206.14,,27,969,36.5,27.44,
19.07.23 12:57:38,19.8,51.19,48.4,47.14,36.88,39.62,49.92,49.92,36.38,36.88,38.12,210.62,219.33,218.03,204.87,,27,969,36.5,27.46,
19.07.23 12:57:53,20.05,47.14,47.9,49.41,36.14,38.62,49.16,43.37,36.38,38.12,38.87,209.97,218.35,216.41,204.87,,27,969,36.5,27.44,
19.07.23 12:58:08,20.3,43.37,47.9,51.44,31.93,38.87,50.68,45.38,36.14,37.38,37.88,210.3,218.35,218.68,206.14,,27,969,36.5,27.43,
19.07.23 12:58:23,20.55,46.38,46.38,45.63,29.96,39.37,45.88,45.38,36.38,38.37,36.63,209.97,218.03,217.06,205.19,,27,969,36.5,27.43,
19.07.23 12:58:38,20.8,49.41,46.38,46.89,34.4,38.87,42.62,43.62,37.63,38.62,42.37,209.01,217.7,217.7,205.19,,27,969,36.5,27.41,
19.07.23 12:58:53,21.05,47.9,46.89,45.63,31.44,39.62,38.37,45.88,36.63,38.62,35.64,209.97,218.68,216.73,203.28,,27,969,36.5,27.41,
19.07.23 12:59:08,21.3,53.98,46.13,50.42,42.87,39.62,40.62,44.62,36.14,38.62,38.87,211.58,217.7,216.41,204.55,,27,969,36.5,27.4,
19.07.23 12:59:23,21.55,47.9,45.88,44.37,37.38,39.12,39.62,45.63,37.63,37.38,35.89,210.3,218.35,217.7,205.82,,27,969,36.5,27.39,
19.07.23 12:59:38,21.8,46.38,46.64,43.12,40.12,40.37,40.62,43.62,37.63,37.63,37.38,208.06,217.7,216.73,205.51,,27,969,36.5,27.39,
19.07.23 12:59:53,22.05,45.13,45.63,46.64,35.89,39.12,40.37,45.38,38.87,40.62,41.62,210.3,217.7,217.06,204.55,,27,969,36.5,27.39,
19.07.23 13:00:08,22.3,49.67,45.88,42.37,33.41,39.62,40.12,45.88,39.87,38.87,38.62,209.01,217.38,216.41,205.51,,27,969,36.5,27.36,
19.07.23 13:00:23,22.55,46.89,45.38,48.4,34.16,39.62,39.87,43.12,39.62,37.38,38.62,209.01,219,216.73,203.28,,27,969,36.5,27.38,
19.07.23 13:00:38,22.8,45.13,44.87,42.37,37.13,37.88,39.12,44.12,44.87,36.63,36.38,208.38,217.38,216.41,204.87,,27,969,36.5,27.36,
19.07.23 13:00:53,23.05,46.64,44.62,42.37,31.44,38.62,39.37,46.89,37.63,35.89,38.12,209.97,216.73,216.73,204.55,,27,969,36.5,27.35,
19.07.23 13:01:08,23.3,45.63,43.37,41.62,31.69,38.87,41.12,46.38,37.88,40.37,37.38,208.7,216.41,216.09,202.96,,27,969,36.5,27.35,
19.07.23 13:01:23,23.55,45.63,44.62,41.62,31.44,37.88,40.12,46.89,41.37,37.13,35.89,209.01,217.38,216.09,204.23,,27,969,36.5,27.33,
19.07.23 13:01:38,23.8,45.38,45.88,41.62,33.91,38.37,39.37,44.12,36.88,36.38,36.63,209.65,217.7,216.09,203.92,,27,969,36.5,27.33,
19.07.23 13:01:53,24.05,48.15,44.12,41.12,34.4,39.37,39.12,42.12,38.37,38.12,36.38,208.7,216.41,216.41,204.55,,27,969,36.5,27.33,
19.07.23 13:02:08,24.3,47.64,44.37,42.62,29.96,39.12,41.12,42.62,37.13,38.12,34.9,209.33,217.38,216.09,203.28,,27,969,36.5,27.32,
19.07.23 13:02:23,24.55,44.62,43.87,45.13,29.47,39.37,40.12,43.62,38.62,36.88,36.38,209.33,216.41,216.09,203.28,,27,969,36.5,27.33,
19.07.23 13:02:38,24.8,47.14,43.62,39.87,32.43,38.62,41.87,49.41,35.89,37.13,38.62,209.65,216.41,215.76,204.23,,27,969,36.5,27.29,
19.07.23 13:02:53,25.05,44.87,44.37,40.37,37.88,38.87,44.87,46.13,36.14,36.63,38.12,209.33,215.76,216.09,202.96,,27,969,36.5,27.29,
19.07.23 13:03:08,25.3,43.37,46.89,39.37,34.4,39.12,49.67,47.9,36.88,37.13,36.88,206.46,215.76,215.12,203.92,,27,969,36.5,27.29,
19.07.23 13:03:23,25.55,45.88,47.39,39.87,35.89,38.87,48.91,45.88,41.12,37.63,35.39,209.65,215.76,215.12,201.7,,27,969,36.5,27.29,
19.07.23 13:03:38,25.8,44.37,43.12,39.12,32.18,39.87,49.16,45.38,37.13,36.14,35.15,208.7,216.73,215.76,203.6,,27,969,36.5,27.29,
19.07.23 13:03:53,26.05,44.62,44.12,38.87,28.49,40.12,48.91,44.62,35.15,36.63,37.63,209.65,215.76,216.41,202.65,,27,969,36.5,27.26,
19.07.23 13:04:08,26.3,49.67,43.87,38.87,28.98,39.62,49.16,44.87,39.12,36.14,37.88,209.65,216.73,216.09,202.33,,27,969,36.5,27.26,
19.07.23 13:04:23,26.55,54.24,45.63,39.12,30.46,40.12,49.67,43.12,38.87,38.62,38.37,208.7,217.06,216.09,204.23,,27,969,36.5,27.26,
19.07.23 13:04:38,26.8,51.95,43.87,38.87,33.41,39.87,48.15,45.88,41.62,37.13,40.87,209.01,216.41,216.73,202.96,,27,969,36.5,27.26,
19.07.23 13:04:53,27.05,44.87,44.37,42.87,30.21,38.87,46.89,46.13,38.12,38.62,39.12,208.7,216.41,215.76,202.01,,27,969,36.5,27.25,
19.07.23 13:05:08,27.3,46.13,43.12,38.37,29.72,39.37,46.64,47.64,39.12,35.89,40.87,209.01,215.44,215.76,202.33,,27,969,36.5,27.24,
19.07.23 13:05:23,27.55,49.41,43.62,37.38,32.18,40.37,46.13,50.17,39.12,37.13,37.63,209.33,216.73,215.76,202.96,,27,969,36.5,27.22,
19.07.23 13:05:38,27.8,47.14,45.38,37.88,32.43,40.37,43.37,44.87,37.38,37.63,37.38,207.74,216.09,216.41,201.7,,27,969,36.5,27.24,
19.07.23 13:05:53,28.05,49.92,44.62,37.13,32.43,39.87,42.62,43.87,38.37,38.62,38.87,209.33,214.15,214.15,202.01,,27,969,36.5,27.22,
19.07.23 13:06:08,28.3,43.87,46.89,37.13,27.02,40.62,42.87,49.41,40.12,37.38,41.12,207.1,216.09,214.8,201.06,,27,969,36.5,27.22,
19.07.23 13:06:23,28.55,54.75,42.37,37.13,31.69,41.12,47.14,41.12,36.63,37.88,40.62,207.74,215.76,214.15,201.38,,27,969,36.5,27.21,
19.07.23 13:06:38,28.8,55.77,42.37,37.13,33.66,41.37,41.62,45.38,39.37,35.64,41.12,208.38,215.44,214.15,202.01,,27,969,36.5,27.22,
19.07.23 13:06:53,29.05,53.22,42.62,37.63,30.7,38.62,41.87,41.12,35.39,36.38,37.63,207.42,215.76,215.44,202.01,,27,969,36.5,27.21,
19.07.23 13:07:08,29.3,46.89,42.12,37.13,36.38,37.63,40.87,45.63,37.88,35.15,40.12,208.7,215.12,214.47,201.7,,27,969,36.5,27.19,
19.07.23 13:07:23,29.55,51.69,44.87,36.14,28.25,38.37,39.37,45.88,34.65,35.64,38.12,207.74,216.09,215.12,199.49,,27,969,36.5,27.19,
19.07.23 13:07:38,29.8,58.07,43.12,37.13,27.76,38.87,40.12,45.38,36.88,39.87,36.63,208.06,213.83,215.76,200.43,,27,969,36.5,27.19,
19.07.23 13:07:53,30.05,52.96,42.87,37.13,28.98,38.12,47.39,43.62,36.88,36.14,41.37,209.01,214.8,214.8,202.01,,27,969,36.5,27.18,
19.07.23 13:08:08,30.3,44.62,41.87,36.88,28.98,38.37,45.38,46.89,39.62,35.89,38.37,208.06,213.19,214.8,201.38,,27,969,36.5,27.18,
19.07.23 13:08:23,30.55,57.04,44.12,36.38,30.95,38.62,42.62,46.38,38.62,35.39,42.12,208.7,215.12,213.51,200.75,,27,969,36.5,27.16,
19.07.23 13:08:38,30.8,68.4,41.87,36.38,28.74,37.88,42.37,43.87,36.88,35.89,40.87,207.42,214.15,213.19,200.75,,27,969,36.5,27.15,
19.07.23 13:08:53,31.05,57.3,43.12,36.38,27.51,37.88,41.87,44.37,35.64,35.39,43.62,207.74,214.8,215.12,201.38,,27,969,36.5,27.18,
19.07.23 13:09:08,31.3,64.25,41.62,40.12,38.12,40.62,45.13,47.39,36.63,37.63,38.12,208.38,213.83,214.47,200.75,,27,969,36.5,27.15,
19.07.23 13:09:23,31.55,53.98,42.12,36.63,33.41,41.12,49.16,46.38,34.65,35.64,41.12,207.74,213.51,213.51,201.38,,27,969,36.5,27.16,
19.07.23 13:09:38,31.8,58.33,41.62,35.15,30.21,41.62,37.88,48.15,34.16,35.39,43.87,207.74,214.47,213.19,199.8,,27,969,36.5,27.14,
19.07.23 13:09:53,32.05,59.09,42.12,36.88,28.74,42.12,48.65,41.87,37.13,36.14,40.37,208.38,213.83,215.12,199.8,,27,969,36.5,27.15,
19.07.23 13:10:08,32.3,62.18,42.12,35.15,32.67,39.12,48.91,44.12,35.89,36.63,40.62,208.06,214.8,214.8,200.12,,27,969,36.5,27.15,
19.07.23 13:10:23,32.55,55,43.87,35.39,32.67,37.88,46.64,42.62,35.39,35.39,41.12,207.74,214.8,213.83,201.06,,27,969,36.5,27.14,
19.07.23 13:10:38,32.8,48.91,41.37,34.9,33.17,39.12,50.93,43.37,34.65,39.12,37.88,207.74,215.44,214.15,199.8,,27,969,36.5,27.14,
19.07.23 13:10:53,33.05,45.63,43.12,35.15,30.21,38.12,51.95,44.12,47.39,38.12,39.62,206.78,213.83,214.47,200.75,,27,969,36.5,27.13,
19.07.23 13:11:08,33.3,43.62,45.63,34.9,31.19,38.37,40.87,44.62,35.64,37.13,38.87,208.38,214.15,213.51,201.38,,27,969,36.5,27.13,
19.07.23 13:11:23,33.55,45.88,44.12,35.64,31.69,38.37,41.37,43.62,44.62,37.13,39.62,206.78,214.47,214.47,199.8,,27,969,36.5,27.11,
19.07.23 13:11:38,33.8,47.9,50.68,34.9,27.27,38.37,41.37,42.87,36.14,39.37,37.38,208.06,214.15,213.19,199.8,,27,969,36.5,27.11,
19.07.23 13:11:53,34.05,55,45.13,35.39,29.96,37.38,46.38,43.12,37.88,38.37,43.87,208.06,214.47,213.51,198.54,,27,969,36.5,27.11,
19.07.23 13:12:08,34.3,45.13,45.63,36.63,29.96,38.62,39.62,42.87,39.87,38.37,39.37,207.74,213.51,213.83,198.54,,27,969,36.5,27.11,
19.07.23 13:12:23,34.55,42.87,42.62,34.16,30.46,38.62,37.88,48.4,38.87,37.13,39.62,206.46,212.86,213.83,199.49,,27,969,36.5,27.11,
19.07.23 13:12:38,34.8,48.4,43.37,33.91,26.78,37.38,45.88,45.13,35.39,37.38,42.37,207.42,213.19,213.51,199.49,,27,969,36.5,27.11,
19.07.23 13:12:53,35.05,46.89,42.87,34.65,33.41,38.87,49.92,47.9,36.14,39.87,41.12,207.1,213.83,213.51,198.85,,27,969,36.5,27.1,
19.07.23 13:13:08,35.3,42.12,41.12,34.16,27.27,39.12,46.38,47.14,34.9,36.63,46.38,207.1,213.83,213.83,200.43,,27,969,36.5,27.1,
19.07.23 13:13:23,35.55,49.92,41.37,38.62,31.93,49.67,37.88,42.87,38.62,35.39,45.63,207.1,214.15,214.47,200.12,,27,969,36.5,27.08,
19.07.23 13:13:38,35.8,54.24,40.87,36.63,28.49,41.37,38.62,43.87,35.89,38.12,44.87,207.1,212.86,212.22,199.8,,27,969,36.5,27.08,
19.07.23 13:13:53,36.05,46.64,40.62,38.87,28.49,41.62,48.4,45.38,39.12,38.62,43.12,205.82,212.54,212.22,199.8,,27,969,36.5,27.08,
19.07.23 13:14:08,36.3,42.62,41.62,39.12,28.49,40.12,50.42,48.15,38.12,34.65,42.12,207.1,213.83,213.51,196.65,,27,969,36.5,27.08,
19.07.23 13:14:23,36.55,51.19,40.37,41.62,29.47,42.12,43.37,48.91,39.12,35.89,39.62,208.38,212.86,213.19,199.49,,27,969,36.5,27.08,
