Measurement Name :,7182023R,,,,,Generated On :,"18/07/2023, 12:47:37",,,,Calibration details for Oxygen,,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
18.07.23 12:42:15,30.55,64,64,64,221.93,217.06,214.47,64,63.21,34.9,92.78,218.68,193.2,64,110.27,67.36,118.35,102.56,213.51,64,64,64,64,64,64,27,969,36.5,26.33,
18.07.23 12:42:30,30.8,65,65,65,222.58,217.7,213.83,65,61.41,37.38,93.05,219.33,191.02,65,107.78,66.58,110.82,100.37,212.86,65,65,65,65,65,65,27,969,36.5,26.33,
18.07.23 12:42:45,31.05,63,63,63,221.28,216.73,212.86,63,69.7,35.64,91.97,218.68,190.09,63,105.03,75.2,107.23,95.75,212.22,63,63,63,63,63,63,27,969,36.5,26.35,
18.07.23 12:43:00,31.3,64,64,64,221.93,217.38,212.86,64,65.8,38.12,92.51,218.35,187.6,64,97.11,67.62,109.16,97.65,212.54,64,64,64,64,64,64,27,969,36.5,26.35,
18.07.23 12:43:15,31.55,62,62,62,221.93,217.06,214.15,62,63.99,34.65,91.16,218.35,184.2,62,99.28,70.22,111.1,96.02,212.22,62,62,62,62,62,62,27,969,36.5,26.36,
18.07.23 12:43:30,31.8,63,63,63,222.58,217.7,215.12,63,65.54,38.37,103.66,217.7,185.74,63,100.92,82.07,103.38,94.4,212.54,63,63,63,63,63,63,27,969,36.5,26.33,
18.07.23 12:43:45,32.05,61,61,61,223.56,217.38,213.51,61,68.4,46.64,93.86,218.35,188.84,61,99.83,74.67,110.55,93.86,214.15,61,61,61,61,61,61,27,969,36.5,26.35,
18.07.23 12:44:00,32.3,62,62,62,221.6,217.06,213.83,62,67.1,41.87,87.13,218.03,185.43,62,97.11,71.27,104.75,96.02,213.19,62,62,62,62,62,62,27,969,36.5,26.36,
18.07.23 12:44:15,32.55,60,60,60,222.58,218.35,214.8,60,65.28,44.62,86.87,218.35,186.05,60,94.13,65.02,107.78,94.13,214.15,60,60,60,60,60,60,27,969,36.5,26.36,
18.07.23 12:44:30,32.8,61,61,61,222.25,217.7,214.47,61,65.28,39.87,86.06,218.35,185.43,61,90.89,62.7,102.29,97.65,213.51,61,61,61,61,61,61,27,969,36.5,26.36,
18.07.23 12:44:45,33.05,59,59,59,221.93,217.7,213.19,59,64.25,38.12,80.48,218.68,183.89,59,91.43,61.15,100.37,96.56,214.47,59,59,59,59,59,59,27,969,36.5,26.35,
18.07.23 12:45:00,33.3,60,60,60,221.93,217.38,213.83,60,61.67,36.88,79.95,219.33,183.27,60,91.97,58.07,100.65,90.08,213.19,60,60,60,60,60,60,27,969,36.5,26.35,
18.07.23 12:45:15,33.55,58,58,58,222.25,217.06,212.86,58,60.89,39.62,86.06,218.35,183.27,58,89.81,61.41,99.56,87.94,214.15,58,58,58,58,58,58,27,969,36.5,26.36,
18.07.23 12:45:30,33.8,59,59,59,223.23,218.03,213.51,59,64.25,38.87,84.73,216.73,181.73,59,88.74,57.04,99.56,85.53,213.19,59,59,59,59,59,59,27,969,36.5,26.35,
18.07.23 12:45:45,34.05,57,57,57,222.25,216.73,213.51,57,63.21,38.37,84.2,218.03,183.27,57,87.67,55.77,100.1,83.13,212.54,57,57,57,57,57,57,27,969,36.5,26.35,
18.07.23 12:46:00,34.3,58,58,58,221.93,216.09,214.15,58,58.84,35.64,81.54,216.73,182.66,58,85,56.02,97.65,85.26,211.58,58,58,58,58,58,58,27,969,36.5,26.36,
18.07.23 12:46:15,34.55,56,56,56,222.25,217.38,213.83,56,59.09,36.38,80.48,218.68,183.89,56,82.87,55.26,99.56,86.6,213.83,56,56,56,56,56,56,27,969,36.5,26.36,
18.07.23 12:46:30,34.8,57,57,57,222.25,217.38,214.47,57,61.67,33.41,72.05,217.38,183.89,57,85.8,51.44,98.74,88.47,212.22,57,57,57,57,57,57,27,969,36.5,26.36,
